event_id,datetime,instrument,side,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000001,2024-08-02,SZ002938,buy,57.615560416352494,0.0,191.86000804640244,57.615560416352494,249.47556846275495,split_001
event_000002,2024-08-02,SH600036,buy,57.440784842129624,0.0,191.27800480226256,57.440784842129624,248.7187896443922,split_001
event_000003,2024-08-02,SH688687,buy,6.948942476239946,0.0,23.140001585876036,6.948942476239946,30.08894406211598,split_001
event_000004,2024-08-02,SH601179,buy,51.244991653358866,0.0,170.64599285168677,51.244991653358866,221.89098450504565,split_001
event_000005,2024-08-02,SZ002092,buy,5.418613406906466,0.0,18.04400068899703,5.418613406906466,23.462614095903497,split_001
event_000006,2024-08-02,SH601100,buy,18.918897843866226,0.0,62.99999282005473,18.918897843866226,81.91889066392096,split_001
event_000007,2024-08-02,SH600027,buy,58.090034553845086,0.0,193.4400085043002,58.090034553845086,251.53004305814528,split_001
event_000008,2024-08-02,SH688301,buy,9.40179290848995,0.0,31.30800169326733,9.40179290848995,40.70979460175728,split_001
event_000009,2024-08-02,SZ300536,buy,6.146540176569032,0.0,20.467999255970426,6.146540176569032,26.61453943253946,split_001
event_000010,2024-08-02,SH600660,buy,57.770211228433595,0.0,192.37499576565043,57.770211228433595,250.14520699408402,split_001
event_000011,2024-08-02,SZ000736,buy,13.933919999999997,0.0,46.39999999999489,13.933919999999997,60.33391999999489,split_001
event_000012,2024-08-02,SZ000895,buy,28.66844143728406,0.0,95.46600545214119,28.66844143728406,124.13444688942525,split_001
event_000013,2024-08-02,SH603296,buy,8.884675621752468,0.0,29.58599940643012,8.884675621752468,38.47067502818258,split_001
event_000014,2024-08-02,SZ301558,buy,5.215309698503402,0.0,17.366998663012012,5.215309698503402,22.582308361515416,split_001
event_000015,2024-08-02,SH600298,buy,15.875658949649946,0.0,52.86599716832612,15.875658949649946,68.74165611797606,split_001
event_000016,2024-08-02,SZ002308,buy,5.0,0.0,0.517999967133731,5.0,5.517999967133731,split_001
event_000017,2024-08-02,SH601022,buy,11.247136164330447,0.0,37.45300088021395,11.247136164330447,48.7001370445444,split_001
event_000018,2024-08-02,SH603833,buy,15.8522367070117,0.0,52.788001022346975,15.8522367070117,68.64023772935867,split_001
event_000019,2024-08-02,SZ002353,buy,21.41139130297971,0.0,71.3000043389183,21.41139130297971,92.71139564189801,split_001
