factor,ret_5,ret_10,ret_20,rev_5,std_20,amplitude_20,amount_mean_20,amount_std_20,volume_ratio_5_20,corr_ret_volume_20
ret_5,1.0,0.6356127691198523,0.4172970466535673,-1.0,0.015437048003334973,0.013187163216375995,0.008676332838750874,0.03658931718730647,0.3447379169854996,0.224021042846635
ret_10,0.6356127691198523,1.0,0.6454311262022282,-0.6356127691198523,0.022642948993168502,0.037562791524128974,0.06223591796344949,0.10037591014364504,0.48145105378143754,0.3578246790945325
ret_20,0.4172970466535673,0.6454311262022282,1.0,-0.4172970466535673,0.055645567111359935,0.099774929618867,0.19729743109694084,0.24174513865064562,0.34638017175148295,0.5669192599185365
rev_5,-1.0,-0.6356127691198523,-0.4172970466535673,1.0,-0.015437048003334973,-0.013187163216375995,-0.008676332838750874,-0.03658931718730647,-0.3447379169854996,-0.224021042846635
std_20,0.015437048003334973,0.022642948993168502,0.055645567111359935,-0.015437048003334973,1.0,0.9029351768964875,0.3783340198771851,0.451053373388352,-0.03132459564146433,-0.006370280598712722
amplitude_20,0.013187163216375995,0.037562791524128974,0.099774929618867,-0.013187163216375995,0.9029351768964875,1.0,0.3762473244407481,0.41961486781286905,-0.060186033914042286,0.03053966009073988
amount_mean_20,0.008676332838750874,0.06223591796344949,0.19729743109694084,-0.008676332838750874,0.3783340198771851,0.3762473244407481,1.0,0.95261056066115,-0.034648577405027164,0.16777227449491075
amount_std_20,0.03658931718730647,0.10037591014364504,0.24174513865064562,-0.03658931718730647,0.451053373388352,0.41961486781286905,0.95261056066115,1.0,-0.019405687457046704,0.2149072767237594
volume_ratio_5_20,0.3447379169854996,0.48145105378143754,0.34638017175148295,-0.3447379169854996,-0.03132459564146433,-0.060186033914042286,-0.034648577405027164,-0.019405687457046704,1.0,0.18228333552207948
corr_ret_volume_20,0.224021042846635,0.3578246790945325,0.5669192599185365,-0.224021042846635,-0.006370280598712722,0.03053966009073988,0.16777227449491075,0.2149072767237594,0.18228333552207948,1.0
