datetime,instrument_count,buyable_count,sellable_count,suspended_count,limit_up_count,limit_down_count,outer_split_id
2024-08-01,2245,2209,2242,3,33,0,split_001
2024-08-02,2245,2220,2233,2,23,10,split_001
2024-08-05,2245,2218,2215,2,25,28,split_001
2024-08-06,2245,2214,2234,1,30,10,split_001
2024-08-07,2245,2210,2237,1,34,7,split_001
2024-08-08,2245,2229,2227,0,16,18,split_001
2024-08-09,2245,2232,2236,0,13,9,split_001
2024-08-12,2245,2231,2229,0,14,16,split_001
2024-08-13,2245,2228,2243,0,17,2,split_001
2024-08-14,2245,2220,2244,0,25,1,split_001
2024-08-15,2245,2213,2244,1,31,0,split_001
2024-08-16,2245,2220,2236,1,24,8,split_001
2024-08-19,2245,2214,2234,1,30,10,split_001
2024-08-20,2245,2230,2234,1,14,10,split_001
2024-08-21,2245,2219,2239,1,25,5,split_001
2024-08-22,2245,2228,2227,2,15,16,split_001
2024-08-23,2245,2216,2233,4,25,8,split_001
2024-08-26,2245,2209,2230,3,33,12,split_001
2024-08-27,2245,2234,2224,3,8,18,split_001
2024-08-28,2245,2223,2237,4,18,4,split_001
2024-08-29,2245,2198,2237,5,42,3,split_001
2024-08-30,2245,2183,2240,5,57,0,split_001
2024-09-02,2245,2224,2236,5,16,4,split_001
2024-09-03,2245,2215,2236,6,24,3,split_001
2024-09-04,2245,2221,2235,6,18,4,split_001
2024-09-05,2245,2211,2237,5,29,3,split_001
2024-09-06,2245,2218,2235,7,20,3,split_001
2024-09-09,2245,2216,2231,7,22,7,split_001
2024-09-10,2245,2217,2226,7,21,12,split_001
2024-09-11,2245,2218,2229,6,21,10,split_001
2024-09-12,2245,2218,2236,6,21,3,split_001
2024-09-13,2245,2220,2229,6,19,10,split_001
2024-09-18,2245,2218,2225,7,20,13,split_001
2024-09-19,2245,2215,2240,4,26,1,split_001
2024-09-20,2245,2210,2241,4,31,0,split_001
2024-09-23,2245,2205,2237,4,36,4,split_001
2024-09-24,2245,2187,2239,4,54,2,split_001
2024-09-25,2245,2207,2239,4,34,2,split_001
