metric,value
market,all_stock_shsz_liquid2000
start_time,2024-01-01
end_time,2026-06-09
provider_uri,E:/qlib_prj/qlib_data/cn_data_community_20260609_derived
rows,1096231
instruments,1904
dates,587
can_buy_rate,0.5835959756657128
can_sell_rate,0.9895733654676797
avg_tradability_score,88.91877715554477
liquidity_source,amount
warning_count,2
is_suspended_rate,0.002342571957917629
is_suspended_count,2568
is_limit_up_rate,0.0155651500459301
is_limit_up_count,17063
is_limit_down_rate,0.005880147523651493
is_limit_down_count,6446
is_one_price_limit_up_rate,0.0011804081439039764
is_one_price_limit_up_count,1294
is_one_price_limit_down_rate,0.0003867797936748733
is_one_price_limit_down_count,424
is_low_liquidity_rate,0.3991686058868979
is_low_liquidity_count,437581
is_new_listing_rate,0.0
is_new_listing_count,0
has_price_anomaly_rate,0.0
has_price_anomaly_count,0
has_volume_anomaly_rate,0.0
has_volume_anomaly_count,0
has_core_missing_rate,0.002342571957917629
has_core_missing_count,2568
