source_project,factor,registry_name,source_function,in_all_alpha,required_fields,param_names,status,source_file,source_commit,license
kunquant_alpha101,kunquant_alpha101_alpha033,alpha033,alpha033,True,"$close,$open",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha034,alpha034,alpha034,True,$close,self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha035,alpha035,alpha035,True,"$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha036,alpha036,alpha036,True,"$amount,$close,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha037,alpha037,alpha037,True,"$close,$open",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha038,alpha038,alpha038,True,"$close,$open",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha039,alpha039,alpha039,True,"$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha040,alpha040,alpha040,True,"$high,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha041,alpha041,alpha041,True,"$amount,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha042,alpha042,alpha042,True,"$amount,$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha043,alpha043,alpha043,True,"$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha044,alpha044,alpha044,True,"$high,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha045,alpha045,alpha045,True,"$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha046,alpha046,alpha046,True,$close,self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha047,alpha047,alpha047,True,"$amount,$close,$high,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha049,alpha049,alpha049,True,$close,self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha050,alpha050,alpha050,True,"$amount,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha051,alpha051,alpha051,True,$close,self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha052,alpha052,alpha052,True,"$close,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha053,alpha053,alpha053,True,"$close,$high,$low",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha054,alpha054,alpha054,True,"$close,$high,$low,$open",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha055,alpha055,alpha055,True,"$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha057,alpha057,alpha057,True,"$amount,$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha060,alpha060,alpha060,True,"$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha061,alpha061,alpha061,True,"$amount,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha062,alpha062,alpha062,True,"$amount,$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha064,alpha064,alpha064,True,"$amount,$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha065,alpha065,alpha065,True,"$amount,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha066,alpha066,alpha066,True,"$amount,$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha068,alpha068,alpha068,True,"$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha071,alpha071,alpha071,True,"$amount,$close,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha072,alpha072,alpha072,True,"$amount,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha073,alpha073,alpha073,True,"$amount,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha074,alpha074,alpha074,True,"$amount,$close,$high,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha075,alpha075,alpha075,True,"$amount,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha077,alpha077,alpha077,True,"$amount,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha078,alpha078,alpha078,True,"$amount,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha081,alpha081,alpha081,True,"$amount,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha083,alpha083,alpha083,True,"$amount,$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha084,alpha084,alpha084,True,"$amount,$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha085,alpha085,alpha085,True,"$close,$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha086,alpha086,alpha086,True,"$amount,$close,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha088,alpha088,alpha088,True,"$close,$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha092,alpha092,alpha092,True,"$close,$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha094,alpha094,alpha094,True,"$amount,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha095,alpha095,alpha095,True,"$high,$low,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha096,alpha096,alpha096,True,"$amount,$close,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha098,alpha098,alpha098,True,"$amount,$open,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha099,alpha099,alpha099,True,"$high,$low,$volume",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
kunquant_alpha101,kunquant_alpha101_alpha101,alpha101,alpha101,True,"$close,$high,$low,$open",self,formula_available_adapter_pending,tmp/reference_repos/KunQuant/KunQuant/predefined/Alpha101.py,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0
