board,st,effective_from,effective_to,condition,limit_ratio,buy_minimum_raw_shares,buy_increment_raw_shares,source_id,source_url,evidence_confidence,behavior
main,false,2015-01-01,2023-12-29,ordinary non-special seasoned,0.1,100,100,sse2023_rules_attachment,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/dcbe58edb194451d93f19b1f7dd8fb4c.docx,official 2023/older rule continuity needs complete dated state,ordinary only; old historical clauses supplement pending
main,true,2015-01-01,2023-12-29,ordinary risk-warning seasoned,0.05,100,100,sse2023_rules_attachment,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/dcbe58edb194451d93f19b1f7dd8fb4c.docx,official 2023; historical ST dates not certified,ordinary only; dated ST required
chinext,false,2015-01-01,2020-08-23,ordinary seasoned,0.1,100,100,chinext_effective_2020,https://www.szse.cn/aboutus/trends/news/t20200821_580924.html,official reform comparison; lifecycle required,ordinary only
chinext,true,2015-01-01,2020-08-23,ordinary risk-warning,0.05,100,100,chinext_st_2020,https://www.szse.cn/disclosure/notice/general/t20200710_579459.html,official transition clause; do not infer historical ST status,ordinary only
chinext,any,2020-08-24,2023-12-29,ordinary seasoned; not old delisting transition,0.2,100,100,chinext_st_2020,https://www.szse.cn/disclosure/notice/general/t20200710_579459.html,official transition + effective-date Q&A,ordinary only
star,any,2019-07-22,2023-12-29,ordinary seasoned; registered listing,0.2,200,1,star_2019,https://edu.sse.com.cn/tib/ysptj/c/4869120.shtml,official dated education + 2023 formal clauses,ordinary only; sell minimum200 unless whole residual
main,any,2023-04-10,2023-12-29,registration IPO sessions1-5,NO_DAILY_LIMIT,100,100,sse2023_rules_attachment,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/dcbe58edb194451d93f19b1f7dd8fb4c.docx,official regime; exact listing/cash-price protection required,strict adapter BLOCKED special session; no invented price bound
chinext,any,2020-08-24,2023-12-29,registration IPO sessions1-5,NO_DAILY_LIMIT,100,100,chinext_effective_2020,https://www.szse.cn/aboutus/trends/news/t20200821_580924.html,official regime; exact listing/cash-price protection required,strict adapter BLOCKED special session; no invented price bound
star,any,2019-07-22,2023-12-29,registration IPO sessions1-5,NO_DAILY_LIMIT,200,1,star_2019,https://edu.sse.com.cn/tib/ysptj/c/4869120.shtml,official regime; exact listing/cash-price protection required,strict adapter BLOCKED special session; no invented price bound
main/chinext,any,2015-01-01,2023-12-29,approval IPO session1,SPECIAL_AUCTION,100,100,old_ipo_sse,https://www.sse.com.cn/aboutus/mediacenter/hotandd/c/c_20150912_3988762.shtml,SSE historical mechanism; SZ/complete dates supplement pending,BLOCKED; do not use continuous-auction price range as opening bound
chinext,any,2020-08-24,2023-12-29,already in delisting at reform; while still in that period,0.1,100,100,chinext_effective_2020,https://www.szse.cn/aboutus/trends/news/t20200821_580924.html,official named exceptions; terminal/lifecycle data needed,BLOCKED until exact event ledger
all,any,2015-01-01,2023-12-29,relisting/resumption/delisting-first-day/market special,EVENT_SPECIFIC,,,sse2023_rules_attachment,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/dcbe58edb194451d93f19b1f7dd8fb4c.docx,incomplete historical special-event authority,BLOCKED; never silently delete held stock
