system,factor,status,output_file_count,failure_count,output_dir
alphalens_reloaded,alpha158_KMID,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KMID
alphalens_reloaded,alpha158_KLEN,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLEN
alphalens_reloaded,alpha158_KMID2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KMID2
alphalens_reloaded,alpha158_KUP,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KUP
alphalens_reloaded,alpha158_KUP2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KUP2
alphalens_reloaded,alpha158_KLOW,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLOW
alphalens_reloaded,alpha158_KLOW2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KLOW2
alphalens_reloaded,alpha158_KSFT,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KSFT
alphalens_reloaded,alpha158_KSFT2,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_KSFT2
alphalens_reloaded,alpha158_OPEN0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_OPEN0
alphalens_reloaded,alpha158_HIGH0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_HIGH0
alphalens_reloaded,alpha158_LOW0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_LOW0
alphalens_reloaded,alpha158_VWAP0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_VWAP0
alphalens_reloaded,alpha158_ROC5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC5
alphalens_reloaded,alpha158_ROC10,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC10
alphalens_reloaded,alpha158_ROC20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC20
alphalens_reloaded,alpha158_ROC30,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC30
alphalens_reloaded,alpha158_ROC60,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_ROC60
alphalens_reloaded,alpha158_MA5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_MA5
alphalens_reloaded,alpha158_MA10,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/alphalens_reloaded/alpha158_MA10
jqfactor_analyzer,alpha158_KMID,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KMID
jqfactor_analyzer,alpha158_KLEN,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLEN
jqfactor_analyzer,alpha158_KMID2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KMID2
jqfactor_analyzer,alpha158_KUP,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KUP
jqfactor_analyzer,alpha158_KUP2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KUP2
jqfactor_analyzer,alpha158_KLOW,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLOW
jqfactor_analyzer,alpha158_KLOW2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KLOW2
jqfactor_analyzer,alpha158_KSFT,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KSFT
jqfactor_analyzer,alpha158_KSFT2,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_KSFT2
jqfactor_analyzer,alpha158_OPEN0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_OPEN0
jqfactor_analyzer,alpha158_HIGH0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_HIGH0
jqfactor_analyzer,alpha158_LOW0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_LOW0
jqfactor_analyzer,alpha158_VWAP0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_VWAP0
jqfactor_analyzer,alpha158_ROC5,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC5
jqfactor_analyzer,alpha158_ROC10,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC10
jqfactor_analyzer,alpha158_ROC20,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC20
jqfactor_analyzer,alpha158_ROC30,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha158_first20_smoke/jqfactor_analyzer/alpha158_ROC30
