signal_date,status,eligible_count,selected_count,turnover,execution_date,period_end_date,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-01-04,skipped_insufficient_eligible_count,0,0,,,,,,,,,
2021-02-01,executed,1123,100,1.0,2021-02-02,2021-03-09,0.001,0.05743188134118271,-0.0026091641088449302,0.06155728294899987,3.63,100.0
2021-03-08,executed,1134,100,0.97,2021-03-09,2021-04-07,0.0009699999999999999,0.07252901376751186,0.0444297685549786,0.026698410851174303,4.58,100.0
2021-04-06,executed,1136,100,0.84,2021-04-07,2021-05-10,0.00084,-0.018094107833705464,-0.0025587461491246577,-0.015596115564695978,3.95,100.0
2021-05-07,executed,1143,100,0.78,2021-05-10,2021-06-07,0.0007800000000000001,0.09854949603109486,0.06064415378416088,0.035978867284756744,3.9,100.0
2021-06-04,executed,1148,100,0.91,2021-06-07,2021-07-06,0.00091,-0.014621539753224,0.006716944527539459,-0.021969451410207785,3.69,100.0
2021-07-05,executed,1137,100,0.8,2021-07-06,2021-08-03,0.0008,-0.042053934252529124,0.02837129221742063,-0.06951637227118701,3.94,100.0
2021-08-02,executed,1122,100,0.69,2021-08-03,2021-08-31,0.00069,0.0332905194840476,0.06378134237454147,-0.029449989413857236,3.92,100.0
2021-08-30,executed,1128,100,0.84,2021-08-31,2021-09-30,0.00084,0.05742885420916455,-0.02583841640331397,0.08135354277165474,3.83,100.0
2021-09-29,executed,1124,100,0.94,2021-09-30,2021-11-04,0.00094,0.009295453354248195,-0.007264213988274815,0.016976421784868245,3.73,100.0
2021-11-03,executed,1159,100,0.89,2021-11-04,2021-12-02,0.0008900000000000001,0.09231386040369638,0.05682409427614021,0.03372176286860684,3.81,100.0
2021-12-01,executed,1141,100,0.8200000000000001,2021-12-02,2021-12-30,0.0008200000000000001,0.013090643268106383,0.015892166604243085,-0.0032602952719708034,4.19,100.0
2021-12-29,executed,1141,100,0.77,2021-12-30,2022-01-28,0.0007700000000000001,-0.10236130373330088,-0.10188490010458118,-0.0011535449991210145,4.0,100.0
2022-01-27,executed,1139,100,0.78,2022-01-28,2022-03-04,0.0007800000000000001,0.05345675257862759,0.04741891454453673,0.006007302610973708,3.9,100.0
2022-03-03,executed,1149,100,0.9,2022-03-04,2022-04-01,0.0009000000000000001,-0.06702306583538686,-0.044953421591717,-0.022375220221272807,4.16,100.0
2022-03-31,executed,1136,100,0.78,2022-04-01,2022-05-06,0.0007800000000000001,-0.1425749771260707,-0.1452342035909212,0.004007769826078311,3.95,100.0
