factor,weight,valid_rows,coverage
alpha158_MIN60,1.0,1409879,0.9964992310041051
alpha158_QTLD60,1.0,1409879,0.9964992310041051
alpha158_ROC60,1.0,1406924,0.9944106438078867
alpha158_MIN30,1.0,1409879,0.9964992310041051
alpha158_ROC30,1.0,1406754,0.9942904881993057
alpha158_QTLD30,1.0,1409879,0.9964992310041051
alpha158_IMIN60,1.0,1413485,0.9990479435014192
alpha158_MIN10,1.0,1409879,0.9964992310041051
alpha158_IMIN30,1.0,1413286,0.9989072907596096
alpha158_MIN5,1.0,1409879,0.9964992310041051
alpha158_IMIN20,1.0,1412965,0.9986804086987007
alpha158_QTLD10,1.0,1409879,0.9964992310041051
alpha158_VSUMN60,1.0,1413475,0.9990408755244439
alpha158_ROC10,1.0,1407171,0.994585222839178
