factor,source,economic_family,research_usable,block_reason,authoritative_semantics,primary_family,economic_subfamily,mechanism,intended_role,data_horizon,definition,active,review_status,numeric_verification
alpha158_BETA10,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,PriceSlope,normalized_price_slope_not_market_beta,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Slope($close, 10)/$close",True,formula_reconciled,not_yet_verified
alpha158_BETA20,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,PriceSlope,normalized_price_slope_not_market_beta,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Slope($close, 20)/$close",True,formula_reconciled,not_yet_verified
alpha158_BETA30,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,PriceSlope,normalized_price_slope_not_market_beta,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Slope($close, 30)/$close",True,formula_reconciled,not_yet_verified
alpha158_BETA5,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,PriceSlope,normalized_price_slope_not_market_beta,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Slope($close, 5)/$close",True,formula_reconciled,not_yet_verified
alpha158_BETA60,alpha158,VolatilityRisk,True,,factor_universe_v2_lineage_accepted_semantics,RiskLottery,PriceSlope,normalized_price_slope_not_market_beta,alpha_risk_or_conditioning,daily_short_to_medium,"Qlib Alpha158 expression: Slope($close, 60)/$close",True,formula_reconciled,not_yet_verified
alpha158_CNTD10,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTD20,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTD30,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",True,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTD5,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)",False,inherited_requires_reconciliation,not_yet_verified
alpha158_CNTD60,alpha158,MomentumTrend,True,,factor_universe_v2_lineage_accepted_semantics,ReturnDynamics,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,daily_short_to_medium,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)",False,inherited_requires_reconciliation,not_yet_verified
