system,factor,status,output_file_count,failure_count,output_dir
alphalens_reloaded,kunquant_alpha101_alpha004,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha004
alphalens_reloaded,kunquant_alpha101_alpha009,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha009
alphalens_reloaded,kunquant_alpha101_alpha012,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha012
alphalens_reloaded,kunquant_alpha101_alpha033,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha033
alphalens_reloaded,kunquant_alpha101_alpha101,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/alphalens_reloaded/kunquant_alpha101_alpha101
jqfactor_analyzer,kunquant_alpha101_alpha004,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/jqfactor_analyzer/kunquant_alpha101_alpha004
jqfactor_analyzer,kunquant_alpha101_alpha009,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/jqfactor_analyzer/kunquant_alpha101_alpha009
jqfactor_analyzer,kunquant_alpha101_alpha012,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/jqfactor_analyzer/kunquant_alpha101_alpha012
jqfactor_analyzer,kunquant_alpha101_alpha033,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/jqfactor_analyzer/kunquant_alpha101_alpha033
jqfactor_analyzer,kunquant_alpha101_alpha101,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/jqfactor_analyzer/kunquant_alpha101_alpha101
qlib_eval,kunquant_alpha101_alpha004,pass,4,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/qlib_eval/kunquant_alpha101_alpha004
qlib_eval,kunquant_alpha101_alpha009,pass,4,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/qlib_eval/kunquant_alpha101_alpha009
qlib_eval,kunquant_alpha101_alpha012,pass,4,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/qlib_eval/kunquant_alpha101_alpha012
qlib_eval,kunquant_alpha101_alpha033,pass,4,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/qlib_eval/kunquant_alpha101_alpha033
qlib_eval,kunquant_alpha101_alpha101,pass,4,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha101_smoke_v1/qlib_eval/kunquant_alpha101_alpha101
