factor_name,catalog_name,category,expression,required_fields,missing_fields,field_status,source_project,source_file,source_function,source_commit,source_path
KMID,alpha158_KMID,kbar,($close-$open)/$open,"$close,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KLEN,alpha158_KLEN,kbar,($high-$low)/$open,"$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KMID2,alpha158_KMID2,kbar,($close-$open)/($high-$low+1e-12),"$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KUP,alpha158_KUP,kbar,"($high-Greater($open, $close))/$open","$close,$high,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KUP2,alpha158_KUP2,kbar,"($high-Greater($open, $close))/($high-$low+1e-12)","$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KLOW,alpha158_KLOW,kbar,"(Less($open, $close)-$low)/$open","$close,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KLOW2,alpha158_KLOW2,kbar,"(Less($open, $close)-$low)/($high-$low+1e-12)","$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KSFT,alpha158_KSFT,kbar,(2*$close-$high-$low)/$open,"$close,$high,$low,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
KSFT2,alpha158_KSFT2,kbar,(2*$close-$high-$low)/($high-$low+1e-12),"$close,$high,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
OPEN0,alpha158_OPEN0,price_volume_lag,$open/$close,"$close,$open",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
HIGH0,alpha158_HIGH0,price_volume_lag,$high/$close,"$close,$high",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
LOW0,alpha158_LOW0,price_volume_lag,$low/$close,"$close,$low",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
VWAP0,alpha158_VWAP0,price_volume_lag,$vwap/$close,"$close,$vwap",,available,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,E:/qlib_prj/qlib_clone/qlib/contrib/data/loader.py
