factor,source_family,source_project,category,judgement_label,max_abs_mean_ic,max_abs_qlib_ir,primary_exposure_proxy,primary_exposure_value,primary_abs_exposure,exposure_direction,exposure_strength,mean_spearman_liquidity_value,mean_spearman_liquidity_bucket,mean_spearman_tradability_score,high_liquidity_z_mean,low_liquidity_z_mean,high_minus_low_liquidity_z,redundancy_compounded,redundancy_representative,attribution_label,recommended_action
kunquant_alpha101_alpha083,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0725382618901386,5.668160176131603,liquidity_value,-0.7841041787512721,0.7841041787512721,negative,strong,-0.7841041787512721,-0.7615898711285003,-0.6288285063898572,-0.3568596141392871,0.4719120471728789,-0.8287716613121661,False,,strong_liquidity_proxy,holdout_before_residualization
ta_volatility_atr,ta,ta,ta_volatility,strong_signal_probe,0.1275683861606252,9.604630023852412,liquidity_value,0.7212235407733305,0.7212235407733305,positive,strong,0.7212235407733305,0.6979490376865211,0.5255808343678027,0.3706384478934162,-0.4505814586422108,0.821219906535627,True,,strong_liquidity_proxy,holdout_before_residualization
kunquant_alpha101_alpha042,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0656898081515098,5.387348525457455,liquidity_value,-0.6574064483581845,0.6574064483581845,negative,strong,-0.6574064483581845,-0.6349476787648352,-0.4894102685357741,-0.2674590924528338,0.2691460721874421,-0.5366051646402759,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
kunquant_alpha101_alpha041,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0656873933768295,5.385930413312844,liquidity_value,0.657051245669783,0.657051245669783,positive,strong,0.657051245669783,0.6345743026534894,0.4899182859031136,0.3860016427578929,-0.4630885495164237,0.8490901922743166,True,ta_momentum_kama,strong_liquidity_proxy,holdout_before_residualization
kunquant_alpha101_alpha005,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0625344845757253,5.124934597344802,liquidity_value,-0.6566607656962566,0.6566607656962566,negative,strong,-0.6566607656962566,-0.6346144732485154,-0.4885102059854049,-0.5632993204696025,0.6701080581017937,-1.2334073785713962,True,ta_momentum_kama,strong_liquidity_proxy,holdout_before_residualization
ta_volatility_kch,ta,ta,ta_volatility,strong_signal_probe,0.1187359193923874,9.061715612578585,liquidity_value,0.6540129440959419,0.6540129440959419,positive,strong,0.6540129440959419,0.6315490462348186,0.4879206982727556,0.3850631630323459,-0.4608319825942759,0.8458951456266218,True,ta_momentum_kama,strong_liquidity_proxy,holdout_before_residualization
ta_trend_ichimoku_conv,ta,ta,ta_trend,strong_signal_probe,0.1189348536232792,9.110527869590294,liquidity_value,0.6519867510587362,0.6519867510587362,positive,strong,0.6519867510587362,0.6297767061288001,0.4873761656334012,0.387102412572292,-0.4634163405523794,0.8505187531246714,True,ta_momentum_kama,strong_liquidity_proxy,holdout_before_residualization
ta_trend_ema_fast,ta,ta,ta_trend,strong_signal_probe,0.1186684670929766,9.01191930719768,liquidity_value,0.6496700382730181,0.6496700382730181,positive,material,0.6496700382730181,0.6271386409080602,0.4845501323448856,0.3888573932622218,-0.4611517816418256,0.8500091749040474,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_volatility_kcc,ta,ta,ta_volatility,strong_signal_probe,0.1193726103451731,9.147213467724832,liquidity_value,0.649432843983967,0.649432843983967,positive,material,0.649432843983967,0.6273350654353149,0.4855617690708979,0.3855876312472768,-0.4625914131394365,0.8481790443867133,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_volume_vwap,ta,ta,ta_volume,strong_signal_probe,0.1205035453161931,9.053554357206922,liquidity_value,0.6489598818645954,0.6489598818645954,positive,material,0.6489598818645954,0.6269046420554882,0.4853290206246087,0.3878686342481975,-0.4642778465024113,0.852146480750609,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_trend_sma_fast,ta,ta,ta_trend,strong_signal_probe,0.1195050715293993,9.062297637329948,liquidity_value,0.6485699371984307,0.6485699371984307,positive,material,0.6485699371984307,0.6263711565988213,0.4850773476781765,0.3855735286207236,-0.462696338621645,0.8482698672423686,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_volatility_kcl,ta,ta,ta_volatility,strong_signal_probe,0.1172082540589444,8.963050233379217,liquidity_value,0.6445468022409027,0.6445468022409027,positive,material,0.6445468022409027,0.6222543010781193,0.4828045629158775,0.3885241666510451,-0.462676763731961,0.8512009303830061,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_momentum_kama,ta,ta,ta_momentum,strong_signal_probe,0.1175943951814375,9.190936745225256,liquidity_value,0.6429894689241824,0.6429894689241824,positive,material,0.6429894689241824,0.6215403172463407,0.4825265130484023,0.4261644441302687,-0.4818233146963505,0.9079877588266192,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
ta_trend_ichimoku_b,ta,ta,ta_trend,strong_signal_probe,0.1148480879163418,8.553694403212406,liquidity_value,0.6364547255895483,0.6364547255895483,positive,material,0.6364547255895483,0.6137755428101015,0.4772904425899177,0.3883998444416128,-0.4593443468314721,0.847744191273085,True,ta_momentum_kama,material_liquidity_proxy,holdout_redundant_liquidity_proxy
kunquant_alpha101_alpha094,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0586455124022946,6.151593009199376,liquidity_value,-0.4633807820430274,0.4633807820430274,negative,material,-0.4633807820430274,-0.446381037517902,-0.3014136168551846,-0.4435683686516959,0.5219294780454057,-0.9654978466971016,False,,material_liquidity_proxy,residualization_candidate_review
kunquant_alpha101_alpha011,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0564594014685597,5.625898711383625,liquidity_value,-0.4430383685701797,0.4430383685701797,negative,moderate,-0.4430383685701797,-0.4184373370937499,-0.3362480159673532,-0.2856772634185871,0.3651316119916824,-0.6508088754102695,False,,moderate_tradability_review,manual_review_before_training
kunquant_alpha101_alpha040,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0642383563394092,11.004407944161692,liquidity_value,-0.430242628135884,0.430242628135884,negative,moderate,-0.430242628135884,-0.4184287455302335,-0.3274673507917133,-0.3618945267673644,0.4897516223781352,-0.8516461491454996,False,,moderate_tradability_review,manual_review_before_training
ta_volatility_kcw,ta,ta,ta_volatility,strong_signal_probe,0.0942207452034506,8.15139981483361,liquidity_value,0.3316462322071107,0.3316462322071107,positive,moderate,0.3316462322071107,0.3208550597829785,0.1805661831420619,0.3113983987880873,-0.319187757138249,0.6305861559263364,False,,moderate_tradability_review,manual_review_before_training
kunquant_alpha101_alpha088,alpha101,kunquant_alpha101,alpha101,strong_signal_probe,0.0676548978104005,10.102395152395069,liquidity_value,-0.3179931262814745,0.3179931262814745,negative,moderate,-0.3179931262814745,-0.3144659974046874,-0.1755201719405884,-0.3071106124708181,0.3257091750012838,-0.632819787472102,False,,moderate_tradability_review,manual_review_before_training
