factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.7711040261906148,-0.035505910195623436,-0.428681296118521,-0.14149289905268198,,-0.958807193909988,2251724
amount_mean_20,liquidity,watch,0.7711040261906148,-0.032777869779854904,-0.3798752722206583,-0.13453701364355614,,-0.8641870783081931,2251724
ret_20,momentum,watch,0.855660878111591,-0.05949545447464925,-0.4214991131590013,-0.07263690060690946,,-0.4504365489713508,2498641
amplitude_20,risk,negative,0.7711040261906148,-0.030584715277275038,-0.18081685215137006,-0.06088260556325593,0.06088260556325593,-0.32219307399009206,2251724
std_20,risk,negative,0.7652532592727036,-0.02746543883920929,-0.16770554079034614,-0.05496828171795825,0.05496828171795825,-0.29750322013678476,2234639
corr_ret_volume_20,price_volume,watch,0.7652532592727036,-0.028788253875603208,-0.3185779794867902,-0.044167403575617895,,-0.44607741745721075,2234639
ret_10,momentum,watch,0.868846934896734,-0.03396139502304968,-0.25761315782962174,-0.04358824302458072,,-0.29324049519533213,2537146
ret_5,momentum,watch,0.877052391503118,-0.019224467533397245,-0.15358075887628914,-0.0322436864501584,,-0.2335558561406745,2561107
rev_5,reversal,positive,0.877052391503118,0.019224467533397245,0.15358075887628914,0.0322436864501584,0.0322436864501584,0.2335558561406745,2561107
volume_ratio_5_20,liquidity,watch,0.7711040261906148,-0.018187596263443174,-0.19800266104567435,-0.008893988646312717,,-0.08351677720249644,2251724
