window,factor,exposure,mean_spearman_corr,abs_mean_spearman_corr,corr_dates
main_research_2021_2023,ret_20,liquidity_bucket,0.1691892543304249,0.1762076664135838,726
main_research_2021_2023,ret_20,volatility_bucket,0.21093975614276247,0.23193056023661374,726
main_research_2021_2023,ret_20,log_amount_mean_20,-0.007890196892810723,0.10302442076688913,726
main_research_2021_2023,ret_20,std_20,0.24221659008111052,0.25306148747108986,726
main_research_2021_2023,ret_20,amplitude_20,0.21795530100142743,0.23902555877250295,726
main_research_2021_2023,rev_5,liquidity_bucket,-0.11569230441996811,0.13083496655040386,726
main_research_2021_2023,rev_5,volatility_bucket,0.031443769324355296,0.1368986307482451,726
main_research_2021_2023,rev_5,log_amount_mean_20,0.14832392833694172,0.17133213601856506,726
main_research_2021_2023,rev_5,std_20,0.006906712860024195,0.13865784297528294,726
main_research_2021_2023,rev_5,amplitude_20,0.033095197971930536,0.14092481120700437,726
main_research_2021_2023,rev_20_exclude_5,liquidity_bucket,-0.10956651042171062,0.12605356367295048,726
main_research_2021_2023,rev_20_exclude_5,volatility_bucket,-0.2396235323941301,0.2557351003000548,726
main_research_2021_2023,rev_20_exclude_5,log_amount_mean_20,-0.07038509422678256,0.11572798491495385,726
main_research_2021_2023,rev_20_exclude_5,std_20,-0.2541980733712974,0.2676652585004957,726
main_research_2021_2023,rev_20_exclude_5,amplitude_20,-0.24749930503996065,0.26369438448914084,726
main_research_2021_2023,std_20,liquidity_bucket,0.28476079573811136,0.28476079573811136,726
main_research_2021_2023,std_20,volatility_bucket,0.8818070303672331,0.8818070303672331,726
main_research_2021_2023,std_20,log_amount_mean_20,0.3533780311152761,0.3533780311152761,726
main_research_2021_2023,std_20,amplitude_20,0.9031930253495328,0.9031930253495328,726
main_research_2021_2023,downside_std_20,liquidity_bucket,0.19602283665089584,0.20053215682006015,726
main_research_2021_2023,downside_std_20,volatility_bucket,0.7412773348248414,0.7412773348248414,726
main_research_2021_2023,downside_std_20,log_amount_mean_20,0.33900105491300414,0.3397994047398241,726
main_research_2021_2023,downside_std_20,std_20,0.8168050448696431,0.8168050448696431,726
main_research_2021_2023,downside_std_20,amplitude_20,0.7633924290983146,0.7633924290983146,726
main_research_2021_2023,max_drawdown_20,liquidity_bucket,0.10638496552412559,0.13020128445036827,726
main_research_2021_2023,max_drawdown_20,volatility_bucket,0.5146207465007154,0.5146207465007154,726
main_research_2021_2023,max_drawdown_20,log_amount_mean_20,0.2895133290569401,0.29567971167307333,726
main_research_2021_2023,max_drawdown_20,std_20,0.5595885073920789,0.5595885073920789,726
main_research_2021_2023,max_drawdown_20,amplitude_20,0.5341415929812,0.5341415929812,726
main_research_2021_2023,amplitude_20,liquidity_bucket,0.2769475219285872,0.2769475219285872,726
main_research_2021_2023,amplitude_20,volatility_bucket,0.9797960872235262,0.9797960872235262,726
main_research_2021_2023,amplitude_20,log_amount_mean_20,0.36489725933213163,0.36489725933213163,726
main_research_2021_2023,amplitude_20,std_20,0.9031930253495328,0.9031930253495328,726
main_research_2021_2023,amount_mean_20,liquidity_bucket,0.7817560760895305,0.7817560760895305,726
main_research_2021_2023,amount_mean_20,volatility_bucket,0.35557708887156214,0.35557708887156214,726
main_research_2021_2023,amount_mean_20,log_amount_mean_20,1.0,1.0,726
main_research_2021_2023,amount_mean_20,std_20,0.3533780311152761,0.3533780311152761,726
main_research_2021_2023,amount_mean_20,amplitude_20,0.36489725933213163,0.36489725933213163,726
main_research_2021_2023,amount_cv_20,liquidity_bucket,-0.01274033578031034,0.07844595651328014,726
main_research_2021_2023,amount_cv_20,volatility_bucket,0.2381901153710393,0.24276038013468823,726
main_research_2021_2023,amount_cv_20,log_amount_mean_20,-0.07967604500095489,0.11823223417561082,726
main_research_2021_2023,amount_cv_20,std_20,0.38945797145064437,0.38945797145064437,726
main_research_2021_2023,amount_cv_20,amplitude_20,0.24365291599985187,0.24812202616189477,726
main_research_2021_2023,corr_ret_amount_20,liquidity_bucket,0.07455479953541606,0.09161651621035778,726
main_research_2021_2023,corr_ret_amount_20,volatility_bucket,0.010368406837587796,0.1184328196795873,726
main_research_2021_2023,corr_ret_amount_20,log_amount_mean_20,-0.011609037477843656,0.08510234346795477,726
main_research_2021_2023,corr_ret_amount_20,std_20,0.030181531288981354,0.11854538892366888,726
main_research_2021_2023,corr_ret_amount_20,amplitude_20,0.010527411769749806,0.12112716538839413,726
recent_oos_2024_2026,ret_20,liquidity_bucket,0.21952472105442725,0.22195900539737282,586
recent_oos_2024_2026,ret_20,volatility_bucket,0.23628017617755423,0.3197720515535609,586
recent_oos_2024_2026,ret_20,log_amount_mean_20,0.05230417786176015,0.13115711581680534,586
recent_oos_2024_2026,ret_20,std_20,0.25896419315725194,0.339842769111209,586
recent_oos_2024_2026,ret_20,amplitude_20,0.24511174513432898,0.3288699140396015,586
recent_oos_2024_2026,rev_5,liquidity_bucket,-0.14449582644499692,0.15704576952431618,586
recent_oos_2024_2026,rev_5,volatility_bucket,0.0027381961601377503,0.18538085897728984,586
recent_oos_2024_2026,rev_5,log_amount_mean_20,0.12926497454162333,0.16287759841717683,586
recent_oos_2024_2026,rev_5,std_20,-0.006745754039379939,0.19616105533796224,586
recent_oos_2024_2026,rev_5,amplitude_20,0.003705738607799019,0.18921649478236724,586
recent_oos_2024_2026,rev_20_exclude_5,liquidity_bucket,-0.14628251104578016,0.1552983202677892,586
recent_oos_2024_2026,rev_20_exclude_5,volatility_bucket,-0.24894424919947955,0.3285016995007474,586
recent_oos_2024_2026,rev_20_exclude_5,log_amount_mean_20,-0.12572816959239355,0.15460466680510979,586
recent_oos_2024_2026,rev_20_exclude_5,std_20,-0.2620987279552025,0.343784419632333,586
recent_oos_2024_2026,rev_20_exclude_5,amplitude_20,-0.25836653784204355,0.33793693297489624,586
recent_oos_2024_2026,std_20,liquidity_bucket,0.19457752829118438,0.21388609040924575,586
recent_oos_2024_2026,std_20,volatility_bucket,0.9004065825827913,0.9004065825827913,586
recent_oos_2024_2026,std_20,log_amount_mean_20,0.252260623501958,0.2747942615483798,586
recent_oos_2024_2026,std_20,amplitude_20,0.9208746243180624,0.9208746243180624,586
recent_oos_2024_2026,downside_std_20,liquidity_bucket,0.10326172528916665,0.15852987103200558,586
recent_oos_2024_2026,downside_std_20,volatility_bucket,0.7937696824246492,0.7937696824246492,586
recent_oos_2024_2026,downside_std_20,log_amount_mean_20,0.22310859758118445,0.265867077424487,586
recent_oos_2024_2026,downside_std_20,std_20,0.8617316718521308,0.8617316718521308,586
recent_oos_2024_2026,downside_std_20,amplitude_20,0.8133587844948537,0.8133587844948537,586
recent_oos_2024_2026,max_drawdown_20,liquidity_bucket,0.04127916610205179,0.1171838598395119,586
recent_oos_2024_2026,max_drawdown_20,volatility_bucket,0.5925859749447754,0.5925859749447754,586
recent_oos_2024_2026,max_drawdown_20,log_amount_mean_20,0.21166009928166382,0.25822153126446645,586
recent_oos_2024_2026,max_drawdown_20,std_20,0.6452451233301698,0.6452451233301698,586
recent_oos_2024_2026,max_drawdown_20,amplitude_20,0.609767499778452,0.609767499778452,586
recent_oos_2024_2026,amplitude_20,liquidity_bucket,0.18267282203817084,0.1978655978581825,586
recent_oos_2024_2026,amplitude_20,volatility_bucket,0.979796107908092,0.979796107908092,586
recent_oos_2024_2026,amplitude_20,log_amount_mean_20,0.2524536070396117,0.2701135940500817,586
recent_oos_2024_2026,amplitude_20,std_20,0.9208746243180624,0.9208746243180624,586
recent_oos_2024_2026,amount_mean_20,liquidity_bucket,0.7764312017439083,0.7764312017439083,586
recent_oos_2024_2026,amount_mean_20,volatility_bucket,0.24640521005560287,0.26340082968822764,586
recent_oos_2024_2026,amount_mean_20,log_amount_mean_20,1.0,1.0,586
recent_oos_2024_2026,amount_mean_20,std_20,0.252260623501958,0.2747942615483798,586
recent_oos_2024_2026,amount_mean_20,amplitude_20,0.2524536070396117,0.2701135940500817,586
recent_oos_2024_2026,amount_cv_20,liquidity_bucket,0.03325075838173553,0.05424201490868852,586
recent_oos_2024_2026,amount_cv_20,volatility_bucket,0.33625581637475743,0.3489039020800708,586
recent_oos_2024_2026,amount_cv_20,log_amount_mean_20,-0.017456540196975925,0.06264340371572809,586
recent_oos_2024_2026,amount_cv_20,std_20,0.45206151868542416,0.45331075433946866,586
recent_oos_2024_2026,amount_cv_20,amplitude_20,0.3412320723943108,0.35462828711201294,586
recent_oos_2024_2026,corr_ret_amount_20,liquidity_bucket,0.10489079946124419,0.12059969972191256,586
recent_oos_2024_2026,corr_ret_amount_20,volatility_bucket,0.02148832117467259,0.13962810269129594,586
recent_oos_2024_2026,corr_ret_amount_20,log_amount_mean_20,0.034943534799155185,0.10346443823316352,586
recent_oos_2024_2026,corr_ret_amount_20,std_20,0.03182338922036833,0.14000597954500105,586
recent_oos_2024_2026,corr_ret_amount_20,amplitude_20,0.022701423635943137,0.1419115444639745,586
