factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.9517647284194664,-0.0067539689901081204,-0.05503053094844475,-0.04487375840528676,,-0.2503120494575825,1043354
std_20,risk,negative,0.949604599760452,0.002341924118810087,0.012598798067685203,-0.03954949875043161,0.03954949875043161,-0.17000982337656967,1040986
ret_20,momentum,watch,0.9568548964588668,-0.013152969396138218,-0.07935518221074277,-0.03860270943757026,,-0.20845601188065122,1048934
amplitude_20,risk,negative,0.9517647284194664,0.0066610592144395984,0.03415775357028617,-0.03838245835521056,0.03838245835521056,-0.15989990351375036,1043354
amount_mean_20,liquidity,watch,0.9517647284194664,-0.002860169447287539,-0.022979832148340748,-0.0353686432989683,,-0.18291332197921412,1043354
ret_10,momentum,watch,0.9743001246999948,-0.011613836874502194,-0.07343633308551978,-0.030530450372168845,,-0.16972587675232093,1068058
volume_ratio_5_20,liquidity,watch,0.9517647284194664,-0.014469588165306834,-0.14495992604023203,-0.029159336081566532,,-0.2646562471953832,1043354
ret_5,momentum,watch,0.9834633393874102,-0.008630282154126695,-0.05483082193389794,-0.025411184070252116,,-0.1373949372208194,1078103
rev_5,reversal,positive,0.9834633393874102,0.008630282154126695,0.05483082193389794,0.025411184070252116,0.025411184070252116,0.1373949372208194,1078103
corr_ret_volume_20,price_volume,watch,0.949604599760452,-0.0012610161747122397,-0.015068195862222043,-0.020259571360457078,,-0.20130245273845676,1040986
