system,factor,status,output_file_count,failure_count,output_dir
alphalens_reloaded,alpha360_CLOSE5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_CLOSE5
alphalens_reloaded,alpha360_CLOSE20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_CLOSE20
alphalens_reloaded,alpha360_CLOSE59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_CLOSE59
alphalens_reloaded,alpha360_OPEN0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_OPEN0
alphalens_reloaded,alpha360_OPEN5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_OPEN5
alphalens_reloaded,alpha360_OPEN20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_OPEN20
alphalens_reloaded,alpha360_OPEN59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_OPEN59
alphalens_reloaded,alpha360_HIGH0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_HIGH0
alphalens_reloaded,alpha360_HIGH5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_HIGH5
alphalens_reloaded,alpha360_HIGH20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_HIGH20
alphalens_reloaded,alpha360_HIGH59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_HIGH59
alphalens_reloaded,alpha360_LOW0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_LOW0
alphalens_reloaded,alpha360_LOW5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_LOW5
alphalens_reloaded,alpha360_LOW20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_LOW20
alphalens_reloaded,alpha360_LOW59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_LOW59
alphalens_reloaded,alpha360_VWAP0,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VWAP0
alphalens_reloaded,alpha360_VWAP5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VWAP5
alphalens_reloaded,alpha360_VWAP20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VWAP20
alphalens_reloaded,alpha360_VWAP59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VWAP59
alphalens_reloaded,alpha360_VOLUME5,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VOLUME5
alphalens_reloaded,alpha360_VOLUME20,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VOLUME20
alphalens_reloaded,alpha360_VOLUME59,pass,8,0,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/alphalens_reloaded/alpha360_VOLUME59
jqfactor_analyzer,alpha360_CLOSE5,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_CLOSE5
jqfactor_analyzer,alpha360_CLOSE20,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_CLOSE20
jqfactor_analyzer,alpha360_CLOSE59,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_CLOSE59
jqfactor_analyzer,alpha360_OPEN0,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_OPEN0
jqfactor_analyzer,alpha360_OPEN5,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_OPEN5
jqfactor_analyzer,alpha360_OPEN20,partial_pass,5,2,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/alpha360_smoke_v1/jqfactor_analyzer/alpha360_OPEN20
