decision,status,reason
community_ohlcva_vwap,adopt,authoritative local price/volume/amount/VWAP backbone
tushare_daily_basic,adopt,verified token access; size/value/turnover with after-close t+1 semantics
tushare_moneyflow,adopt,verified token access; 2010+ order-size flow with documented units
tushare_financial_statements,adopt_pit,f_ann_date then ann_date; revisions retained; report period never availability
tushare_fina_indicator,cross_check_only,ratios useful for QA but authoritative factors are statement-derived
tushare_disclosure_date,cross_check_only,current actual_date can be backfilled and does not prove historical vintage
sw2021_membership,defer,effective intervals do not establish database-vintage availability
alpha191,reject_current_batch,unclear portable provenance/license and high overlap with V1 technical core
joinquant_ricequant,taxonomy_only,public taxonomies reviewed; no unlicensed code copied
barra_style,adapt_public_concepts,public factor families used; proprietary model formulas not copied
sparse_event_apis,defer,accessible but heterogeneous history and sparse coverage need a later batch
tradability_states,retain_as_controls,"limit/ST/suspension remain controls, not alpha features"
