source,batch_id,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes,lineage_status,parent_v1_factor,canonical_replacement_for,evidence_tier,economic_family,economic_subfamily,candidate_status
alpha101,,kunquant_alpha101_alpha062_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha062,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha062,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha064_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha064,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha064,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha064,kunquant_alpha101_alpha064,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha065_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha065,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha065,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha065,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha066_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha066,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha066,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha066,kunquant_alpha101_alpha066,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha071_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha071,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$low,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha071,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha071,kunquant_alpha101_alpha071,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha072_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha072,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha072,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha072,kunquant_alpha101_alpha072,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha073_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha073,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$low,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha073,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha073,kunquant_alpha101_alpha073,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha074_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha074,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$high,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha074,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha074,kunquant_alpha101_alpha074,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha075_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha075,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha075,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha075,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha077_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha077,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha077,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha077,kunquant_alpha101_alpha077,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha078_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha078,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha078,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha078,kunquant_alpha101_alpha078,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha081_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha081,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha081,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha081,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha083_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha083,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$high,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha083,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha083,kunquant_alpha101_alpha083,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha084_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha084,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha084,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha084,kunquant_alpha101_alpha084,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha086_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha086,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha086,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha086,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha094_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha094,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha094,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha096_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha096,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha096,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha096,kunquant_alpha101_alpha096,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha098_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha098,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha098,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha098,kunquant_alpha101_alpha098,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha002,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha002,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha002,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha002,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
alpha101,alpha101_001,kunquant_alpha101_alpha003,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha003,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha003,Alpha101 batch V4 passed.,legacy_v1,kunquant_alpha101_alpha003,,A_or_B_legacy,Multi,CrossSectionalTechnicalFormula,pre_network_data_correctness_candidate
