factor_name,factor_family,original_source,original_formula_or_definition,historical_status,implementation_quality,historical_missing_dependency,historical_reason,current_dependency_available,recoverable_now,recommended_action,notes
kunquant_alpha101_alpha001,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha005,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha007,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_partial:quantile_turnover,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha011,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha019,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,exact,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha021,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha023,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,exact,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha025,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha027,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,evaluation_holdout,proxy_based,none_current,alphalens_reloaded_not_run,True,True,recover_into_v2_without_alpha_performance_gate,
kunquant_alpha101_alpha027,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,recoverable_degraded_holdout,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
kunquant_alpha101_alpha032,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,proxy_based,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha036,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,proxy_based,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha037,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,exact,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha039,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,adapter_holdout,exact,valid_formula_output,zero_valid_rows,False,False,research_pending_formula_debug,
kunquant_alpha101_alpha041,Alpha101,kunquant_alpha101,Pending Alpha101 batch V4 evaluation.,active_v1_degraded,proxy_based,direct_provider_vwap,reference_class_derived_vwap_as_amount_div_volume_plus_epsilon,True,True,retain_proxy_and_add_canonical_vwap_v2,Separate annotation row for degraded implementation; may duplicate a holdout row.
