source_project,manifest_id,declared_status,license,local_path,local_path_status,source_file,source_file_status,catalog_factor_count,enabled_factor_count,runnable_factor_count,readiness,readiness_reason
ginkgo_alpha101,,metadata_registered_adapter_pending,MIT,tmp/reference_repos/Ginkgo_Alpha101,available,README.md,available,0,0,0,adapter_pending,source registered but calculation adapter is not promoted
kunquant_alpha101,,source_audit_passed_adapter_pending,Apache-2.0,tmp/reference_repos/KunQuant,available,KunQuant/predefined/Alpha101.py,available,82,0,0,adapter_pending,source registered but calculation adapter is not promoted
qlib_alpha158,,formula_inventory_passed_expression_adapter_pending,MIT,E:/qlib_prj/qlib_clone,available,qlib/contrib/data/loader.py,available,155,155,155,ready,runnable catalog entries available
ta,,metadata_registered_adapter_pending,MIT,tmp/reference_repos/ta,available,ta/wrapper.py,available,77,77,77,ready,runnable catalog entries available
qlib_factor_platform_presets,,design_reference,MIT,tmp/reference_repos/qlib_factor_platform,available,qlib_factor_platform/factors/presets.py,available,0,0,0,reference_only,"design reference, not a runnable factor source"
alphalens_reloaded,alphalens_reloaded,factor_research/external/adapters.py::to_alphalens_factor_data,Apache-2.0,tmp/reference_repos/alphalens-reloaded,available,"src/alphalens/performance.py,src/alphalens/tears.py",available,0,0,0,reference_or_evaluator,Primary open-source factor evaluation reference.
factortest,factortest,future data inventory and exposure adapters,MIT,tmp/reference_repos/FactorTest,available,"FactorTestPerformance.py,FactorTestBox.py",available,0,0,0,reference_or_evaluator,"A-share data layer, factor test, industry/style exposure reference."
jqfactor_analyzer,jqfactor_analyzer,factor_research/external/adapters.py::to_jqfactor_inputs,MIT,tmp/reference_repos/jqfactor_analyzer,available,"jqfactor_analyzer/performance.py,jqfactor_analyzer/analyze.py,jqfactor_analyzer/preprocess.py",available,0,0,0,reference_or_evaluator,"A-share style factor analysis reference with group, neutralization, and Chinese reporting conventions."
kunquant,kunquant,kunquant_alpha101_adapter_pending,Apache-2.0,tmp/reference_repos/KunQuant,available,"KunQuant/predefined/Alpha101.py,tests/KunTestUtil/ref_alpha101.py,tests/gen_alpha158.py",available,0,0,0,reference_or_evaluator,Alpha101/Alpha158 formula and high-performance factor calculation reference.
multi_factor,multi_factor,future factor catalog entries after license review,unknown,tmp/reference_repos/multi-factor,available,"factor_code,self_libs/factor_test.py",available,0,0,0,reference_or_evaluator,A-share fundamental factor and single-factor test reference.
qlib_evaluate,qlib_evaluate,factor_research/external/adapters.py::to_qlib_score_frame,MIT,E:/qlib_prj/qlib_clone,available,qlib/contrib/evaluate.py,available,0,0,0,reference_or_evaluator,Keep compatibility with the baseline framework and Qlib-native risk/evaluation tools.
qlib_factor_platform,qlib_factor_platform,none,MIT,tmp/reference_repos/qlib_factor_platform,available,"qlib_factor_platform/workflow/manager.py,qlib_factor_platform/utils/helpers.py",available,0,0,0,reference_or_evaluator,"Reference for factor management, workflow organization, and configurable analysis pages."
