system,factor,metric,horizon,value,source_file
alphalens_reloaded,ta_momentum_roc,factor_alpha_beta:Ann. alpha,10D,0.0740669382549161,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_roc,factor_alpha_beta:Ann. alpha,20D,0.0569057722812391,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_roc,factor_alpha_beta:beta,10D,-0.3209530582478226,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_roc,factor_alpha_beta:beta,20D,-0.0092492961638283,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_roc,mean_information_coefficient,10D,-0.016642059510946,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/mean_information_coefficient.csv
alphalens_reloaded,ta_momentum_roc,mean_information_coefficient,20D,0.0201857824239737,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_roc/mean_information_coefficient.csv
alphalens_reloaded,ta_momentum_rsi,factor_alpha_beta:Ann. alpha,10D,0.1037843866298757,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_rsi,factor_alpha_beta:Ann. alpha,20D,0.0926689550822654,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_rsi,factor_alpha_beta:beta,10D,-0.3367168322093752,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_rsi,factor_alpha_beta:beta,20D,-0.1158870438269519,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/factor_alpha_beta.csv
alphalens_reloaded,ta_momentum_rsi,mean_information_coefficient,10D,-0.0187374981615177,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/mean_information_coefficient.csv
alphalens_reloaded,ta_momentum_rsi,mean_information_coefficient,20D,0.011204858278526,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_momentum_rsi/mean_information_coefficient.csv
alphalens_reloaded,ta_trend_macd_diff,factor_alpha_beta:Ann. alpha,10D,0.1239433283779529,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/factor_alpha_beta.csv
alphalens_reloaded,ta_trend_macd_diff,factor_alpha_beta:Ann. alpha,20D,0.2084029094121895,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/factor_alpha_beta.csv
alphalens_reloaded,ta_trend_macd_diff,factor_alpha_beta:beta,10D,-0.2967391118362142,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/factor_alpha_beta.csv
alphalens_reloaded,ta_trend_macd_diff,factor_alpha_beta:beta,20D,-0.2286603427319803,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/factor_alpha_beta.csv
alphalens_reloaded,ta_trend_macd_diff,mean_information_coefficient,10D,-0.016674509721873,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/mean_information_coefficient.csv
alphalens_reloaded,ta_trend_macd_diff,mean_information_coefficient,20D,0.0258192478566062,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_v4/ta_smoke_v1/alphalens_reloaded/ta_trend_macd_diff/mean_information_coefficient.csv
