factor,canonical_factor_id,source,economic_family,primary_family,analysis_direction,direction_origin,rule_id,agreement,pass_count,backend_available_count,alphalens_candidate_status,jqfactor_candidate_status,qlib_candidate_status,alphalens_reasons,jqfactor_reasons,qlib_reasons,qlib_ic__mean,qlib_ic__valid_dates,annual_direction_agreement,alphalens_quantile_monotonicity_raw,alphalens_q5_minus_q1__mean,jqfactor_returns__mean,jqfactor_return_annual_direction_agreement,qlib_pearson__mean,qlib_long_short__mean,fdr_bh_q_value,fdr_by_q_value,ic_sample_coverage,direction_instability,regime_concentrated,warnings
alpha158_CORR30,7314578ef909655732442d51c4d786793dc48e21a0a67068d17dae69e888529c,alpha158,Liquidity,LiquidityTrading,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.05788062766137623,3361,0.9285714285714286,-0.9999999999999999,-0.011448939703197858,-0.0046441689843226,0.7857142857142857,-0.03971115711274125,-0.0057341062265924584,0.0012528455151405,0.0090427193914192,0.9502796801144483,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_CORR5,739e37e0e8f4af319ed8f9448d2bcf66e7cec07e48c74dd72ceb37fcb94f4d7e,alpha158,Liquidity,LiquidityTrading,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.04788816997077663,3361,1.0,-0.9999999999999999,-0.009428976715622093,-0.003787316050498364,0.8571428571428571,-0.03299238234247065,-0.004714680128137254,0.0012528455151405,0.0090427193914192,0.9488528644669104,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_CORR60,26fc550be58a30c0a0c33382c6501a4574dc5a4deced9e27bcfff897653ddb35,alpha158,Liquidity,LiquidityTrading,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.035270359344438416,3361,0.7857142857142857,-0.9999999999999999,-0.007012244071694373,-0.002827013628325736,0.7857142857142857,-0.023962326179800958,-0.003508436541501915,0.0012528455151405,0.0090427193914192,0.9505241255355295,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_HIGH0,a53222ac9f82e11710201f1de79085ec3dec2577c9f4dcc3250418e1458c4cd9,alpha158,Liquidity,LiquidityTrading,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,1/3,1,3,fail,pass,fail,positive_directional_quantile_spread;directional_quantile_monotonicity_080,all_conditions_pass,positive_directional_long_short,-0.022581204962835496,3361,0.9285714285714286,0.3,0.0005380691194597883,-0.0013500526993460973,0.7857142857142857,-0.012431788184838055,0.00020356997706600264,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMAX20,4ea9cbbe3de7fa37fb94fd35c6d1add3f232509c504e2bfbd363eb4f5b5b00a2,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.03366720408104273,3361,1.0,-0.8999999999999998,-0.007451294029933329,-0.002748803735879604,0.8571428571428571,-0.023248056490609924,-0.0029440299191887944,0.0012528455151405,0.0090427193914192,0.950411222969686,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMAX30,d016c6991d066fe9214dffbaf133fe1aa8e1050e5ba114668c2acc8b0dc506be,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.040153826343523685,3361,1.0,-0.9999999999999999,-0.007922368465463233,-0.003288273336683828,0.8571428571428571,-0.027787061785122323,-0.00354578609014957,0.0012528455151405,0.0090427193914192,0.9504885119744916,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMAX60,2f7b70ce7daddb26216d5e26efb36117cc77f66bc117c2fb917664a1febb9ee9,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,-0.031208654181578383,3361,0.8571428571428571,-0.6,-0.004848861502063137,-0.0021271059930689697,0.7857142857142857,-0.019091706092248147,-0.0022620716522246454,0.0012528455151405,0.0090427193914192,0.9506086887996108,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMIN20,941aef624dc215c9b48b466c6219e4f89dbb7b03322de5cd802be05ef0443596,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,minimum_1260_quantile_dates;directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.032860021567712734,3361,0.9285714285714286,0.39999999999999997,0.0010045467389772267,0.002704489978583747,0.7857142857142857,0.020667361283551962,0.0030003759647605406,0.0012528455151405,0.0090427193914192,0.950411222969686,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMIN30,f4b10f7d27e5b3dcbbdcc0363c4d501a5bdab5cfd4dd518bca8812fc333f2deb,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.03601749392413308,3361,0.8571428571428571,0.8999999999999998,0.002799032920115314,0.003022268167946192,0.7142857142857143,0.023653792750532348,0.003082158754886837,0.0012528455151405,0.0090427193914192,0.9504885119744916,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMIN60,52191f95e978d5b3cbeaf421422cd1313e8e123a57e182af14d4090b71dacdf4,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.028980225629225528,3361,0.8571428571428571,0.8999999999999998,0.005041561931681035,0.0020002842902325933,0.7857142857142857,0.01777382757610599,0.0019637417972947634,0.0012528455151405,0.0090427193914192,0.9506086887996108,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMXD20,ed87b1efc4dfe8fe4897b40f7c8a74ca733663ee8ecd40d7337bfd16dad8ffaa,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.040186407614739246,3361,1.0,-0.9999999999999999,-0.008164067474896626,-0.0033164126040016793,0.7857142857142857,-0.027242503910853467,-0.003681067897777566,0.0012528455151405,0.0090427193914192,0.950411222969686,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMXD30,4604294f336e2ba31773b4092be51a07c4bb640f770a35baf3aa982f4688ca24,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.04842011505522426,3361,1.0,-0.9999999999999999,-0.009979552397804832,-0.003879159813019019,0.7142857142857143,-0.032125641758111265,-0.004444487542808051,0.0012528455151405,0.0090427193914192,0.9504885119744916,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_IMXD60,5a28c7cbf637ff0a9fd27a991305a2ed01d6eb0a8d77fcaaa2f98902cb3d04ac,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,-0.03838556343482851,3361,0.8571428571428571,-0.9999999999999999,-0.007536465825476584,-0.0025945124814397893,0.7142857142857143,-0.023123426352364557,-0.0033409067409060312,0.0012528455151405,0.0090427193914192,0.9506086887996108,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_KLEN,786e4af6f66313ad0fdb1c94a5cefdd6e1a72f6cede4d6a569375c7cc82ff0de,alpha158,TradingBehavior,TradingBehavior,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,-0.05500647075809815,3361,1.0,-0.3,-0.004678782988732952,-0.003964784434758942,0.9285714285714286,-0.034105943201546904,-0.0023840099389942767,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_KLOW,205cca5a5a3dbc8184f2ec0dff21b36bfa13e62b9fd2259b5e4af2d22624c2e7,alpha158,TradingBehavior,TradingBehavior,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,-0.03505179794015457,3361,1.0,-0.7,-0.004731588171786885,-0.0036446953224136135,1.0,-0.02805352348953995,-0.0027816666767310266,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_KUP,802928ee6eebb39a9f2629c201d296538224fbcb1f7fd43f864fd22f84f639c4,alpha158,TradingBehavior,TradingBehavior,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,-0.02591259077828761,3361,1.0,-0.09999999999999999,-0.0010559342641141747,-0.002504435783193106,0.9285714285714286,-0.02081320282999988,-0.0006266963493962807,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_LOW0,608ee3d8351bf133ab8ed276c6626efee106e59c2d8fcbb2cd5357375046f26b,alpha158,Liquidity,LiquidityTrading,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.040051236358124576,3361,1.0,0.09999999999999999,0.005030665997976635,0.005039964394514216,1.0,0.03672837951572809,0.0027466402173696625,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MA10,ffe8ab656d6e10db83273e6b34d9f328dd2301aa4cbfc77b69fbe43690de9a87,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.032392520392391225,3361,0.9285714285714286,0.3,0.00663980174846159,0.003783762324974083,0.8571428571428571,0.029179798011721114,0.003325636407483834,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MA20,8da92b6680ac706890b11d3efdf1edb8514a0ac4253a08cb6ffeb76c162b42dc,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.0510977985056154,3361,1.0,0.7,0.010056478922564784,0.005256403314018392,0.9285714285714286,0.040630119644223785,0.005038479141539214,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MA30,302071e9ab47aa601fa44cfe4d1b199d1b48f7f5cae8ec77c20e5298f1b25cc4,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06226877714016755,3361,1.0,0.8999999999999998,0.011988013120359258,0.006023843919202754,0.8571428571428571,0.04737742366227364,0.005996938513331519,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MA5,928799c7cda19dda668df0f0a147d1e0232d9aad23a79b32e8519bd3dd46d952,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.022209798450331737,3361,0.9285714285714286,0.3,0.004975648232814845,0.003014137874531048,0.8571428571428571,0.022970259591773425,0.002493548768170704,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MA60,5dbcc4f3e43e5695423ba26936e4bf8d8728758fa3736588c2f637c54dc40fea,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.07177663785860647,3361,0.9285714285714286,0.9999999999999999,0.01295497678095199,0.0062431601561242995,0.7857142857142857,0.050727366202456596,0.006484797031753377,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MAX5,9bb678101164f27038ab041927dfaa645c38e0bd12f17616ee5720943fad35ee,alpha158,VolatilityRisk,RiskLottery,-1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,-0.02310791539641168,3361,0.7857142857142857,-0.09999999999999999,-0.0005589671903158959,-0.0017816718409675034,0.7857142857142857,-0.01507866316308555,-0.0002994988292352279,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MIN10,9b7b834ef366a9e0f8006ee53dba43983fdce01e36c9aa115fd8497ef9cbfd95,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.04529461395316144,3361,1.0,0.09999999999999999,0.004481835479171067,0.004337005523655013,0.8571428571428571,0.034958079212466374,0.0023824052874189356,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha158_MIN20,39c8a7b533f0cbd19e5a455ded06c55bb463cb87dbab7c23d341c6cf32d4b666,alpha158,VolatilityRisk,RiskLottery,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,2/3,2,3,fail,pass,pass,directional_quantile_monotonicity_080,all_conditions_pass,all_conditions_pass,0.05154778589736596,3361,1.0,0.3,0.005093101620162553,0.004373070872948543,0.8571428571428571,0.036483868858150754,0.0027017594636425148,0.0012528455151405,0.0090427193914192,0.9473208751540098,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
