factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows
amount_std_20,liquidity,watch,0.9189167246684321,-0.018437498352590002,-0.1574200186850892,-0.0926828515543902,,-0.5098068283588941,1007345
amount_mean_20,liquidity,watch,0.9189167246684321,-0.01080594135211373,-0.0913755477695913,-0.08197480252572845,,-0.4171558497838566,1007345
ret_20,momentum,watch,0.9230071034298428,-0.04515346399705512,-0.3219414827742377,-0.07954114568458914,,-0.4745214566087365,1011829
ret_10,momentum,watch,0.9403711444029589,-0.03749388147281469,-0.2884766811370069,-0.05683901369314609,,-0.3720336506583679,1030864
std_20,risk,negative,0.9168396077104187,-0.015172367019591817,-0.08478677360179421,-0.053786781278872375,0.053786781278872375,-0.2364584604555954,1005068
amplitude_20,risk,negative,0.9189167246684321,-0.005832448714088401,-0.030278294909099106,-0.05112353056716057,0.05112353056716057,-0.21341410130200983,1007345
ret_5,momentum,watch,0.9493938777502187,-0.03244487452702511,-0.25662034655682475,-0.04080458016405639,,-0.26710876143911627,1040755
rev_5,reversal,positive,0.9493938777502187,0.03244487452702511,0.25662034655682475,0.04080458016405639,0.04080458016405639,0.26710876143911627,1040755
volume_ratio_5_20,liquidity,watch,0.9189167246684321,-0.02415301189336454,-0.2961407899566089,-0.03725454985691395,,-0.3750940078761813,1007345
corr_ret_volume_20,price_volume,watch,0.9168396077104187,0.012525547662514925,0.17103373608345865,-0.006011676489657541,,-0.06617564199252407,1005068
