factor,label,source_family,raw_action,primary_exposure_proxy,raw_mean_rank_ic,residualized_mean_rank_ic,residualized_rank_icir,rank_ic_retention,residualized_coverage,residualization_r2_mean,decision,decision_reason
kunquant_alpha101_alpha083,no_label,alpha101,holdout_before_residualization,liquidity_value,,,,,0.6511573033707865,0.6088984514684369,needs_manual_review,coverage=0.6512 below 0.80
ta_volatility_atr,no_label,ta,holdout_before_residualization,liquidity_value,,,,,0.1495056179775281,0.5195068233897758,needs_manual_review,coverage=0.1495 below 0.80
kunquant_alpha101_alpha042,no_label,alpha101,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.6578876404494381,0.29249980400275233,needs_manual_review,coverage=0.6579 below 0.80
kunquant_alpha101_alpha041,no_label,alpha101,holdout_before_residualization,liquidity_value,,,,,0.6578876404494381,0.42917241045144633,needs_manual_review,coverage=0.6579 below 0.80
kunquant_alpha101_alpha005,no_label,alpha101,holdout_before_residualization,liquidity_value,,,,,0.6511797752808989,0.4280248319638661,needs_manual_review,coverage=0.6512 below 0.80
ta_volatility_kch,no_label,ta,holdout_before_residualization,liquidity_value,,,,,0.15732584269662922,0.4226607223589274,needs_manual_review,coverage=0.1573 below 0.80
ta_trend_ichimoku_conv,no_label,ta,holdout_before_residualization,liquidity_value,,,,,0.1561685393258427,0.4195022235919268,needs_manual_review,coverage=0.1562 below 0.80
ta_trend_ema_fast,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15732584269662922,0.4167675226449793,needs_manual_review,coverage=0.1573 below 0.80
ta_volatility_kcc,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15603370786516854,0.4170145316413281,needs_manual_review,coverage=0.1560 below 0.80
ta_volume_vwap,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15548314606741573,0.4166115486543903,needs_manual_review,coverage=0.1555 below 0.80
ta_trend_sma_fast,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15576404494382023,0.41576019383844537,needs_manual_review,coverage=0.1558 below 0.80
ta_volatility_kcl,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15732584269662922,0.4102647275152245,needs_manual_review,coverage=0.1573 below 0.80
ta_momentum_kama,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.1508314606741573,0.41125229017781784,needs_manual_review,coverage=0.1508 below 0.80
ta_trend_ichimoku_b,no_label,ta,holdout_redundant_liquidity_proxy,liquidity_value,,,,,0.15732584269662922,0.4009559706513794,needs_manual_review,coverage=0.1573 below 0.80
kunquant_alpha101_alpha094,no_label,alpha101,residualization_candidate_review,liquidity_value,,,,,0.6497528089887641,0.3056825512984735,needs_manual_review,coverage=0.6498 below 0.80
kunquant_alpha101_alpha011,no_label,alpha101,manual_review_before_training,liquidity_value,,,,,0.6555842696629214,0.1288796655204871,needs_manual_review,coverage=0.6556 below 0.80
kunquant_alpha101_alpha040,no_label,alpha101,manual_review_before_training,liquidity_value,,,,,0.6511797752808989,0.17492455533562123,needs_manual_review,coverage=0.6512 below 0.80
ta_volatility_kcw,no_label,ta,manual_review_before_training,liquidity_value,,,,,0.15603370786516854,0.13021608968593132,needs_manual_review,coverage=0.1560 below 0.80
kunquant_alpha101_alpha088,no_label,alpha101,manual_review_before_training,liquidity_value,,,,,0.6526179775280899,0.18346432922262523,needs_manual_review,coverage=0.6526 below 0.80
