event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost
event_000001,2026-05-26,SH600000,buy,47500.0,47500.0,0.0,10.0,10.009999999999998,475474.9999999999,filled,,142.64249999999996,0.0,474.9999999999055,142.64249999999996,617.6424999999055
event_000002,2026-05-26,SZ000001,buy,43100.0,43100.0,0.0,11.0,11.011,474574.1,filled,,142.37222999999997,0.0,474.09999999996694,142.37222999999997,616.4722299999669
event_000003,2026-05-27,SH600000,sell,47500.0,47500.0,0.0,10.0,9.99,474525.0,filled,,142.3575,474.52500000000003,474.9999999999899,616.8825,1091.88249999999
event_000004,2026-05-27,SH600519,buy,39500.0,39500.0,0.0,12.0,12.011999999999999,474473.99999999994,filled,,142.34219999999996,0.0,473.9999999999478,142.34219999999996,616.3421999999478
event_000005,2026-05-28,SZ000001,sell,43100.0,43100.0,0.0,11.0,10.989,473625.9,filled,,142.08777,473.62590000000006,474.09999999996694,615.7136700000001,1089.813669999967
event_000006,2026-05-28,SZ000002,buy,36400.0,36400.0,0.0,13.0,13.012999999999998,473673.19999999995,filled,,142.10195999999996,0.0,473.1999999999317,142.10195999999996,615.3019599999317
event_000007,2026-05-29,SH600519,sell,39500.0,39500.0,0.0,12.0,11.988,473526.0,filled,,142.0578,473.526,474.00000000001796,615.5838,1089.583800000018
event_000008,2026-05-29,SH601398,buy,33700.0,33700.0,0.0,14.0,14.014,472271.8,filled,,141.68153999999998,0.0,471.79999999997796,141.68153999999998,613.4815399999779
event_000009,2026-06-01,SZ000002,sell,36400.0,36400.0,0.0,13.0,12.987,472726.8,filled,,141.81804,472.7268,473.1999999999964,614.54484,1087.7448399999964
event_000010,2026-06-01,SH600000,buy,47100.0,47100.0,0.0,10.0,10.009999999999998,471470.9999999999,filled,,141.44129999999996,0.0,470.9999999999063,141.44129999999996,612.4412999999063
event_000011,2026-06-02,SH601398,sell,33700.0,33700.0,0.0,14.0,13.986,471328.2,filled,,141.39846,471.32820000000004,471.79999999997796,612.72666,1084.526659999978
event_000012,2026-06-02,SZ000001,buy,42800.0,42800.0,0.0,11.0,11.011,471270.8,filled,,141.38124,0.0,470.79999999996716,141.38124,612.1812399999671
event_000013,2026-06-03,SH600000,sell,47100.0,47100.0,0.0,10.0,9.99,470529.0,filled,,141.15869999999998,470.529,470.99999999998994,611.6877,1082.68769999999
event_000014,2026-06-03,SH600519,buy,39100.0,39100.0,0.0,12.0,12.011999999999999,469669.19999999995,filled,,140.90075999999996,0.0,469.1999999999483,140.90075999999996,610.1007599999483
event_000015,2026-06-04,SZ000001,sell,42800.0,42800.0,0.0,11.0,10.989,470329.2,filled,,141.09876,470.3292,470.79999999996716,611.42796,1082.2279599999672
event_000016,2026-06-04,SZ000002,buy,36100.0,36100.0,0.0,13.0,13.012999999999998,469769.29999999993,filled,,140.93078999999997,0.0,469.2999999999323,140.93078999999997,610.2307899999323
event_000017,2026-06-05,SH600519,sell,39100.0,39100.0,0.0,12.0,11.988,468730.8,filled,,140.61924,468.7308,469.2000000000178,609.35004,1078.5500400000178
event_000018,2026-06-05,SH601398,buy,33400.0,33400.0,0.0,14.0,14.014,468067.6,filled,,140.42028,0.0,467.5999999999782,140.42028,608.0202799999781
