datetime,instrument,score,method,signal_artifact_id,profile_name,profile_type,research_run_family_id
2026-05-25,SH600000,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-25,SH600519,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-25,SH601398,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-25,SZ000001,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-25,SZ000002,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-26,SH600000,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-26,SH600519,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-26,SH601398,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-26,SZ000001,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-26,SZ000002,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-27,SH600000,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-27,SH600519,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-27,SH601398,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-27,SZ000001,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-27,SZ000002,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-28,SH600000,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-28,SH600519,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-28,SH601398,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-28,SZ000001,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-28,SZ000002,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-29,SH600000,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-29,SH600519,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-29,SH601398,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-29,SZ000001,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-05-29,SZ000002,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-01,SH600000,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-01,SH600519,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-01,SH601398,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-01,SZ000001,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-01,SZ000002,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-02,SH600000,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-02,SH600519,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-02,SH601398,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-02,SZ000001,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-02,SZ000002,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-03,SH600000,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-03,SH600519,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-03,SH601398,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-03,SZ000001,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-03,SZ000002,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-04,SH600000,3.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-04,SH600519,1.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-04,SH601398,4.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-04,SZ000001,2.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
2026-06-04,SZ000002,5.0,synthetic_rotating_rank,signal:qlib-exchange-synthetic-v1,synthetic,smoke,qlib_exchange_v1
