datetime,instrument,open,close,volume,amount,can_buy,can_sell,limit_up,limit_down,suspended,factor,change,execution_price
2026-05-25,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-05-25,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-05-25,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-05-25,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-05-25,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-05-26,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-05-26,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-05-26,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-05-26,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-05-26,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-05-27,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-05-27,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-05-27,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-05-27,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-05-27,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-05-28,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-05-28,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-05-28,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-05-28,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-05-28,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-05-29,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-05-29,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-05-29,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-05-29,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-05-29,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-06-01,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-06-01,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-06-01,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-06-01,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-06-01,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-06-02,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-06-02,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-06-02,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-06-02,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-06-02,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-06-03,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-06-03,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-06-03,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-06-03,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-06-03,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-06-04,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-06-04,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-06-04,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-06-04,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-06-04,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
2026-06-05,SH600000,10.0,10.0,1000000.0,10000000.0,True,True,False,False,False,1.0,0.0,10.0
2026-06-05,SH600519,12.0,12.0,1000000.0,12000000.0,True,True,False,False,False,1.0,0.0,12.0
2026-06-05,SH601398,14.0,14.0,1000000.0,14000000.0,True,True,False,False,False,1.0,0.0,14.0
2026-06-05,SZ000001,11.0,11.0,1000000.0,11000000.0,True,True,False,False,False,1.0,0.0,11.0
2026-06-05,SZ000002,13.0,13.0,1000000.0,13000000.0,True,True,False,False,False,1.0,0.0,13.0
