split_id,method,valid_component_count,status,reason
split_001,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_001,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_001,stability_weight,0,blocked,blocked_insufficient_selected_components
split_002,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_002,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_002,stability_weight,0,blocked,blocked_insufficient_selected_components
split_003,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_003,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_003,stability_weight,0,blocked,blocked_insufficient_selected_components
split_004,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_004,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_004,stability_weight,0,blocked,blocked_insufficient_selected_components
split_005,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_005,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_005,stability_weight,0,blocked,blocked_insufficient_selected_components
split_006,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_006,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_006,stability_weight,0,blocked,blocked_insufficient_selected_components
split_007,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_007,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_007,stability_weight,0,blocked,blocked_insufficient_selected_components
split_008,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_008,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_008,stability_weight,0,blocked,blocked_insufficient_selected_components
split_009,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_009,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_009,stability_weight,0,blocked,blocked_insufficient_selected_components
split_010,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_010,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_010,stability_weight,0,blocked,blocked_insufficient_selected_components
split_011,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_011,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_011,stability_weight,0,blocked,blocked_insufficient_selected_components
split_012,equal_directional_zscore,0,blocked,blocked_insufficient_selected_components
split_012,cluster_equal,0,blocked,blocked_insufficient_selected_components
split_012,stability_weight,0,blocked,blocked_insufficient_selected_components
