factor,category,expected_direction,slice_count,positive_directional_slices,mean_directional_rank_ic,min_directional_rank_ic,mean_abs_rank_ic,latest_rank_ic,latest_directional_rank_ic
amplitude_20,risk,negative,4,4,0.0758637997854395,0.0511235305671605,0.0758637997854395,-0.0511235305671605,0.0511235305671605
std_20,risk,negative,4,4,0.07161850846337275,0.0537867812788723,0.07161850846337275,-0.0537867812788723,0.0537867812788723
rev_5,reversal,positive,4,4,0.030789487118944,0.0238927901940687,0.030789487118944,0.0408045801640563,0.0408045801640563
amount_mean_20,liquidity,watch,4,0,,,0.09790808244451571,-0.0819748025257284,
amount_std_20,liquidity,watch,4,0,,,0.10836610014239345,-0.0926828515543902,
corr_ret_volume_20,price_volume,watch,4,0,,,0.0319407423719995,-0.0060116764896575,
ret_10,momentum,watch,4,0,,,0.04591422277709873,-0.056839013693146,
ret_20,momentum,watch,4,0,,,0.0672646689082757,-0.0795411456845891,
ret_5,momentum,watch,4,0,,,0.030789487118944,-0.0408045801640563,
volume_ratio_5_20,liquidity,watch,4,0,,,0.024059958978194775,-0.0372545498569139,
