factor,category,expected_direction,slice_count,positive_directional_slices,mean_directional_rank_ic,min_directional_rank_ic,mean_abs_rank_ic,latest_rank_ic,latest_directional_rank_ic
amplitude_20,risk,negative,4,4,0.03946913355143182,0.0239170868489983,0.03946913355143182,-0.0383824583552105,0.0383824583552105
std_20,risk,negative,4,4,0.0370234350651404,0.0187753375034852,0.0370234350651404,-0.0395494987504316,0.0395494987504316
rev_5,reversal,positive,4,4,0.036709072116455424,0.0229545609533246,0.036709072116455424,0.0254111840702521,0.0254111840702521
amount_mean_20,liquidity,watch,4,0,,,0.0357543350377874,-0.0353686432989683,
amount_std_20,liquidity,watch,4,0,,,0.044143625829211754,-0.0448737584052867,
corr_ret_volume_20,price_volume,watch,4,0,,,0.021713423421317775,-0.020259571360457,
ret_10,momentum,watch,4,0,,,0.0331845384041345,-0.0305304503721688,
ret_20,momentum,watch,4,0,,,0.0357952459485948,-0.0386027094375702,
ret_5,momentum,watch,4,0,,,0.036709072116455424,-0.0254111840702521,
volume_ratio_5_20,liquidity,watch,4,0,,,0.024158553804562298,-0.0291593360815665,
