evidence_id,citation,url,market,economic_mechanism,a_share_evidence,international_evidence,expected_relationship,possible_redundancy,complementary_role,data_horizon,turnover_implication,evidence_level,design_impact
liu_stambaugh_yuan_2019,"Liu, Stambaugh & Yuan (2019), Size and Value in China",https://www.nber.org/papers/w24458,A-share,"China-specific value, size and shell-value mechanisms","Earnings-to-price is central to the CH-3 value factor; smallest firms require special interpretation because shell value can distort size and value","Value and size are classic global factors","Higher earnings yield is favorable; size is not assumed to be a monotone alpha in the current sample","Book-to-price and size can overlap with shell-value exposure","Motivates earnings, book, sales and cash-flow valuation separation plus visible size diagnostics",monthly_to_annual,"Value is usually slower moving; microcaps raise implementation concerns",strong_prior,"Value sleeve is subfamily-balanced; size is a diagnostic/control rather than a sleeve"
jansen_swinkels_zhou_2021,"Jansen, Swinkels & Zhou (2021), Anomalies in the China A-share Market",https://doi.org/10.1016/j.pacfin.2021.101607,A-share,"Systematic comparison of 32 anomaly families","Value, risk and trading carry over; size, quality and past-return evidence is weaker except residual momentum and reversal","Compares Chinese evidence with established international anomalies","Positive value; low risk; low speculative trading; reversal; residual momentum","Risk measures and trading signals can be internally redundant","Sets prior strength and requires traditional momentum, reversal and risk mechanisms to remain distinct",monthly,"Trading/reversal signals can be costly",strong_prior,"Strong priors for value/risk/trading/reversal; mixed priors for quality and raw momentum"
leippold_wang_zhou_2022,"Leippold, Wang & Zhou (2022), Machine Learning in the Chinese Stock Market",https://doi.org/10.1016/j.jfineco.2021.08.017,A-share,"Retail participation, liquidity and horizon-dependent predictability","Liquidity is the most important predictor in their broad ML study; transaction costs materially matter; size and ownership effects vary by horizon","Contrasts with US ML evidence","Liquidity/trading information can predict but must survive costs","Many technical features may rediscover the same liquidity state","Motivates separate liquidity level, speculative activity, price impact and flow diagnostics",short_and_long,"High relevance; raw predictability can be consumed by trading costs",strong_prior,"No ML is used here; liquidity is split into mechanisms and tested with P01 costs"
hsu_viswanathan_wang_wool_2018,"Hsu, Viswanathan, Wang & Wool (2018), Anomalies in Chinese A-Shares",https://doi.org/10.3905/jpm.2018.44.7.108,A-share,"Institutional structure, retail behavior and China-tailored factor design","Value and size can work under tailored construction; ordinary A-share momentum can reverse direction; overnight sentiment is relevant","Starts from US anomaly definitions and documents important China differences","Do not flip raw momentum after observing results; high overnight sentiment is predeclared as overpricing","Momentum, reversal and overnight returns can look mechanically similar","Motivates competing raw-momentum and reversal sleeves and the negative overnight direction",days_to_months,"Short-horizon reversal and overnight signals imply turnover",plausible_prior,"Traditional momentum remains a competing hypothesis and cannot be relabeled"
pan_tang_xu_2014,"Pan, Tang & Xu (2014), Speculative Trading and Stock Returns",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2447667,A-share,"Speculative overpricing under short-sale constraints","Abnormal turnover predicts lower future returns while past average turnover does not","Related to international disagreement/speculation models","Higher abnormal turnover predicts lower returns","Abnormal turnover overlaps with volume ratio and amount shocks","Separates speculative activity from ordinary liquidity level",short_to_medium,"High turnover is both the signal and an implementation warning",strong_prior,"Abnormal activity signals receive negative signs and subfamily balancing"
wan_2018,"Wan (2018), Is the idiosyncratic volatility anomaly driven by the MAX or MIN effect?",https://doi.org/10.1016/j.iref.2017.10.015,A-share,"Lottery preference and limits to arbitrage","Strong IVOL and MAX effects; IVOL is not subsumed by MAX in China","MAX often subsumes IVOL in US/European evidence","Lower IVOL and lower MAX predict higher returns","IVOL, total volatility and MAX are correlated but economically non-identical","Supports retaining residual-risk and lottery-payoff subfamilies",monthly,"Low-risk signals are usually moderate turnover",strong_prior,"Low-risk sleeve balances IVOL and MAX rather than choosing one representative"
blitz_huij_martens_residual_momentum,"Residual momentum and the cross-section of stock returns: Chinese evidence (2019)",https://doi.org/10.1016/j.frl.2018.07.009,A-share,"Continuation in factor-residual rather than raw returns","Residual momentum is significant and does not show long-run reversal","Residual momentum is documented internationally","Higher residual momentum is favorable","Residual and raw momentum should not be treated as equivalent","Defines a missing mechanism that the current matrix cannot honestly proxy",months,"Moderate turnover; requires a factor-model residual estimation step",plausible_prior,"Residual momentum is documented in the map but excluded from V1 sleeves because no precomputed PIT residual factor exists"
george_hwang_2004,"George & Hwang (2004), The 52-Week High and Momentum Investing",https://doi.org/10.1111/j.1540-6261.2004.00695.x,international,"Anchoring to a salient past price level","China-specific evidence is less mature than reversal/risk evidence","52-week-high information can subsume part of raw momentum internationally","Closer to the 52-week high predicts continuation","Correlated with raw momentum but measures an anchor rather than cumulative return","Provides a distinct price-information sleeve",months,"Moderate turnover",plausible_prior,"52-week high is separated from traditional momentum"
amihud_2002,"Amihud (2002), Illiquidity and Stock Returns",https://doi.org/10.1016/S1386-4181(01)00024-6,international,"Price response per unit of traded currency as illiquidity","Widely applied in A-share research but local turnover/speculation semantics differ","Positive illiquidity-return relation is a classic result","Higher price impact may earn a gross premium","Amihud overlaps with volatility and small size","Adds price-impact information distinct from turnover",monthly_to_annual,"Directly warns of trading capacity and costs",plausible_prior,"Creates a one-factor price-impact sleeve with explicit cost warning"
novy_marx_2013,"Novy-Marx (2013), The Other Side of Value: The Gross Profitability Premium",https://doi.org/10.1016/j.jfineco.2013.01.003,international,"Productive firms can earn higher returns even after controlling for value","A-share reviews find profitability/quality evidence less consistent","Strong international gross-profitability evidence","Higher profitability is favorable","Profitability overlaps with value and margins","Tests whether fundamentals add to value",quarterly_to_annual,"Low turnover because accounting data updates slowly",plausible_prior,"Profitability is complementary and its incremental value is explicitly tested"
sloan_1996,"Sloan (1996), Do Stock Prices Fully Reflect Information in Accruals and Cash Flows?",https://doi.org/10.2307/2491429,international,"Earnings backed by cash are more persistent than accrual-heavy earnings","Chinese accounting evidence is mixed and reporting regimes evolved","Classic negative accrual and positive cash-flow-quality evidence","Lower accruals and stronger cash backing are favorable","Accruals and operating cash flow are accounting identities with overlap","Conditions value/profitability on earnings quality",quarterly_to_annual,"Low turnover",plausible_prior,"Accruals are signed negative before outcomes and balanced against cash-generation measures"
green_hand_zhang_2017,"Green, Hand & Zhang (2017), The Characteristics that Provide Independent Information about Average U.S. Monthly Stock Returns",https://doi.org/10.1093/rfs/hhw054,international,"Incremental information among a crowded characteristic set","Not China-specific and therefore used only as research-governance guidance","Many published characteristics are redundant once considered jointly","No factor direction imported mechanically into China","High redundancy across formula variants","Motivates explicit A vs A+B and residual-score diagnostics",monthly,"Redundant signals can increase turnover without information gain",plausible_prior,"No one-representative cluster rule; subfamily balancing and limited incremental comparisons are used"
hou_xue_zhang_2020,"Hou, Xue & Zhang (2020), Replicating Anomalies",https://doi.org/10.1093/rfs/hhy131,international,"Replication, microcap sensitivity and multiple-testing discipline","Not China-specific; recent Chinese replications also warn about microcap-weighted results","Many anomaly claims weaken under robust construction","No result-driven sign or winner inference","Data mining and highly correlated variants inflate apparent evidence","Supports conservative priors and visible size exposure",monthly,"Microcaps and equal weighting can overstate implementability",plausible_prior,"765 data-qualified factors are not treated as 765 independent economic bets"
