factor,source,original_family,original_subfamily,primary_family,secondary_family,economic_subfamily,mechanism,research_role,sleeve_id,expected_direction,direction_rationale,evidence_level,intended_role,data_horizon,turnover_implication,global_coverage,global_qualified_month_fraction,definition,lineage_status
alpha158_BETA10,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,systematic_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9985643460857272,1.0,"Qlib Alpha158 expression: Slope($close, 10)/$close",legacy_v1
alpha158_BETA20,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,systematic_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9986254048524716,1.0,"Qlib Alpha158 expression: Slope($close, 20)/$close",legacy_v1
alpha158_BETA30,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,systematic_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9986277235398164,1.0,"Qlib Alpha158 expression: Slope($close, 30)/$close",legacy_v1
alpha158_BETA5,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,systematic_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.9985056060063277,1.0,"Qlib Alpha158 expression: Slope($close, 5)/$close",legacy_v1
alpha158_BETA60,alpha158,VolatilityRisk,RollingRiskOrPriceState,RiskLottery,,RollingRiskOrPriceState,systematic_risk,alpha_risk_or_conditioning,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_risk_or_conditioning,daily_short_to_medium,medium_or_unknown,0.998631974466615,1.0,"Qlib Alpha158 expression: Slope($close, 60)/$close",legacy_v1
alpha158_CNTD10,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",legacy_v1
alpha158_CNTD20,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)",legacy_v1
alpha158_CNTD30,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",legacy_v1
alpha158_CNTD5,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)",legacy_v1
alpha158_CNTD60,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)",legacy_v1
alpha158_CNTN10,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 10)",legacy_v1
alpha158_CNTN20,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 20)",legacy_v1
alpha158_CNTN30,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 30)",legacy_v1
alpha158_CNTN5,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 5)",recovered
alpha158_CNTN60,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 60)",legacy_v1
alpha158_CNTP10,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)",legacy_v1
alpha158_CNTP20,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)",legacy_v1
alpha158_CNTP30,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",legacy_v1
alpha158_CNTP5,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)",legacy_v1
alpha158_CNTP60,alpha158,MomentumTrend,TechnicalTrend,ReturnDynamics,,TechnicalTrend,return_continuation,alpha_or_competing_hypothesis,,ambiguous_not_used,No V1 sleeve direction assigned; physical qualification is not economic evidence.,weak_or_exploratory,alpha_or_competing_hypothesis,daily_short_to_medium,medium_or_unknown,1.0,1.0,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)",legacy_v1
