outer_split_id,inner_split_id,factor,train_count,validation_count,train_total,validation_total,train_mean_ic,validation_mean_ic,train_coverage,validation_coverage,selection_eligible,fdr_bh_pass,fdr_bh_q_value,selected,frozen_direction,selection_reason,eligible,internally_recomputed_fdr
split_001,split_001_inner_001,alpha158_BETA10,396.0,40.0,396.0,40.0,-0.024013326390219292,-0.10067543783687256,1.0,1.0,True,True,0.0198654848336377,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA20,396.0,40.0,396.0,40.0,-0.047785841935460226,-0.1416595715123165,1.0,1.0,True,True,0.0070536323834476,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA30,396.0,40.0,396.0,40.0,-0.07107576159381272,-0.18660619370217585,1.0,1.0,True,True,0.0030657415978516,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA5,396.0,40.0,396.0,40.0,-0.013129429238404192,-0.06450491977395742,1.0,1.0,True,True,0.0429920956236745,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA60,396.0,40.0,396.0,40.0,-0.0903981891715129,-0.09783458375227028,1.0,1.0,True,True,0.0030657415978516,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTD10,396.0,40.0,396.0,40.0,-0.012598590448981983,-0.09662209849850725,1.0,1.0,True,False,0.1758154737248813,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD20,396.0,40.0,396.0,40.0,-0.030517274317705654,-0.12614584765573278,1.0,1.0,True,False,0.0784829849050032,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD30,396.0,40.0,396.0,40.0,-0.04821908960767382,-0.17771843507792892,1.0,1.0,True,True,0.037056013293637,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTD5,396.0,40.0,396.0,40.0,-0.007307868686693864,-0.0706665438181805,1.0,1.0,True,False,0.2028662736925806,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD60,396.0,40.0,396.0,40.0,-0.06539620541617183,-0.10527984491882673,1.0,1.0,True,False,0.0719169513232593,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN10,396.0,40.0,396.0,40.0,0.007438660419703037,0.1016894765405312,1.0,1.0,True,False,0.3635724275724276,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN20,396.0,40.0,396.0,40.0,0.02195299631767501,0.13262712373039537,1.0,1.0,True,False,0.2093434203986967,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN30,396.0,40.0,396.0,40.0,0.036224481026568875,0.18174085986139915,1.0,1.0,True,False,0.1234573596918179,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN60,396.0,40.0,396.0,40.0,0.048187416562205786,0.11655786304260422,1.0,1.0,True,False,0.248425916189074,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTP10,396.0,40.0,396.0,40.0,-0.01847050667139596,-0.08900714824932555,1.0,1.0,True,False,0.0761701533760357,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTP20,396.0,40.0,396.0,40.0,-0.039119304568939035,-0.11468568468787485,1.0,1.0,True,True,0.026182065357323,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTP30,396.0,40.0,396.0,40.0,-0.05846546592045953,-0.16197240727469597,1.0,1.0,True,True,0.0083961264865787,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTP5,396.0,40.0,396.0,40.0,-0.011469444743720867,-0.06587576045297583,1.0,1.0,True,False,0.0794178399297229,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTP60,396.0,40.0,396.0,40.0,-0.07731510175509194,-0.0873554371632411,1.0,1.0,True,True,0.0110337775432115,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CORD10,396.0,40.0,396.0,40.0,-0.028782607580050613,-0.05255496851477735,1.0,1.0,True,True,0.0211497363396097,True,-1,selected,True,False
