event_id,asset_id,record_date,ex_date,implementation_known_date,status,source_row_ids,source_rows,implemented_rows,ignored_nonimplemented_rows,conflicts,missing,gross_cash_per_share,bonus_per_share,pay_date,listable_date,corroborated_cash_missing_rows,source_instruments
82fe025d4e7f5e9bf918bd38,SH600176,20210520,20210521,20210517,resolved_gross_entitlement,"[""eeb002b7cd16d9881dbef924d1d98af732f96d04bd355e941aac6bc21783fb98:37""]",1,1,0,,,0.224,0.143,20210521,20210524,0,SH600176
792934416ba43a1acf4cb114,SH600195,20200707,20200708,20200701,resolved_gross_entitlement,"[""cb9833d2243b18debfd49539d59c59591478e8b6279f7a2b709535554c2600a7:1"", ""cb9833d2243b18debfd49539d59c59591478e8b6279f7a2b709535554c2600a7:25""]",2,2,0,,,0.09447,0.198886,20200708,20200709,0,SH600195
288bb17c759864b7f333dc27,SH600225,20211221,20211222,20211216,resolved_gross_entitlement,"[""41ffef3dcff00f345540f9d5e52a13e8468f111ba77218360ebb38bb228c5bfd:0"", ""41ffef3dcff00f345540f9d5e52a13e8468f111ba77218360ebb38bb228c5bfd:1""]",2,2,0,,,0.0,2.64662885,,20211223,1,SH600225
6f1556e4d4ae8691a6063444,SH603030,20231225,20231226,20231220,resolved_gross_entitlement,"[""2c6e63699deceb3d6c1b6a084c35e82ea253a88e502d1d9010ccac1966fe3f4c:0"", ""2c6e63699deceb3d6c1b6a084c35e82ea253a88e502d1d9010ccac1966fe3f4c:1""]",2,2,0,,,0.0,0.971919,,20231226,1,SH603030
2487c29e2c660e7f5939a110,SH603185,20230706,20230707,20230701,resolved_gross_entitlement,"[""8fb180027dba88060cecd92fa67855595fcfd7f504647af2824b52e1d1684e3d:4"", ""8fb180027dba88060cecd92fa67855595fcfd7f504647af2824b52e1d1684e3d:28""]",2,2,0,,,2.43401,0.39739,20230707,20230707,0,SH603185
3cccb63700697886eba18b4a,SH603496,20180627,20180628,20180622,resolved_gross_entitlement,"[""bb88b7971c84b261f248c0c511cd8598b2e29409d931e333214733b0b7077127:0"", ""bb88b7971c84b261f248c0c511cd8598b2e29409d931e333214733b0b7077127:14""]",2,2,0,,,0.22536,0.391926,20180628,20180629,0,SH603496
0db892753524e34d2c94423d,SH603538,20220607,20220608,20220601,resolved_gross_entitlement,"[""67b7a58c47629f1315056bee804454ba414f8c2043dc28a4a238dbc096aaa9c3:2"", ""67b7a58c47629f1315056bee804454ba414f8c2043dc28a4a238dbc096aaa9c3:4""]",2,2,0,,,0.19851,0.39702,20220608,20220609,0,SH603538
d010242b8cd86388275c791c,SH605168,20220527,20220530,20220524,resolved_gross_entitlement,"[""804d9f98d2e1f780d33daa443f82d1469fd8b549f25b1204915cccb43833f492:0"", ""804d9f98d2e1f780d33daa443f82d1469fd8b549f25b1204915cccb43833f492:28""]",2,2,0,,,2.98396,0.447594,20220530,20220531,0,SH605168
82de5cc1afa05cabdd547fbd,SH688262,20230628,20230629,20230621,resolved_gross_entitlement,"[""35c91fa5daf2c839302d33fde03b4630efd83b3d18a5465212ed06f35ae956af:0"", ""35c91fa5daf2c839302d33fde03b4630efd83b3d18a5465212ed06f35ae956af:22""]",2,2,0,,,0.25186,0.402978,20230629,20230629,0,SH688262
fb4173100b75c8cbade89b9d,SZ000403,20200724,20200727,20200721,resolved_gross_entitlement,"[""8d4c58f4a36ddd4613cf4e4484a2a981fb1c1a7e1e815090ae07cfc19055f72c:7""]",1,1,0,,,0.1202083,0.7947662,20200727,20200727,0,SZ000403
