outer_split_id,inner_split_id,factor,train_count,validation_count,train_total,validation_total,train_mean_ic,validation_mean_ic,train_coverage,validation_coverage,selection_eligible,fdr_bh_pass,fdr_bh_q_value,selected,frozen_direction,selection_reason,eligible,internally_recomputed_fdr
split_001,split_001_inner_001,alpha158_BETA10,396.0,40.0,396.0,40.0,-0.024008471594701198,-0.10066891258289776,1.0,1.0,True,True,0.0200356388793219,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA20,396.0,40.0,396.0,40.0,-0.04778360515355724,-0.14165103058216144,1.0,1.0,True,True,0.0068546837777607,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA30,396.0,40.0,396.0,40.0,-0.07107339834678378,-0.1866007673477214,1.0,1.0,True,True,0.0031825317539603,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA5,396.0,40.0,396.0,40.0,-0.013125256951447705,-0.06450277264988179,1.0,1.0,True,True,0.0383794423398383,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_BETA60,396.0,40.0,396.0,40.0,-0.09039632093468317,-0.09782798904532605,1.0,1.0,True,True,0.0055386602347928,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTD10,396.0,40.0,396.0,40.0,-0.012598590448981983,-0.09662209849850725,1.0,1.0,True,False,0.1917721453803928,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD20,396.0,40.0,396.0,40.0,-0.030517274317705654,-0.1261458476557328,1.0,1.0,True,False,0.0968596620770533,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD30,396.0,40.0,396.0,40.0,-0.04821908960767382,-0.17771843507792892,1.0,1.0,True,True,0.0310537946901583,True,-1,selected,True,False
split_001,split_001_inner_001,alpha158_CNTD5,396.0,40.0,396.0,40.0,-0.007307868686693863,-0.07066654381818051,1.0,1.0,True,False,0.209694667748359,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTD60,396.0,40.0,396.0,40.0,-0.06539620541617182,-0.10527984491882673,1.0,1.0,True,False,0.0694370564500434,False,-1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN10,396.0,40.0,396.0,40.0,0.0074386604197030385,0.10168947654053118,1.0,1.0,True,False,0.3926980662649452,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN20,396.0,40.0,396.0,40.0,0.021952996317675007,0.1326271237303954,1.0,1.0,True,False,0.2081504354231626,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN30,396.0,40.0,396.0,40.0,0.03622448102656887,0.18174085986139915,1.0,1.0,True,False,0.1263453860627005,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTN60,396.0,40.0,396.0,40.0,0.048187416562205786,0.11655786304260422,1.0,1.0,True,False,0.2536572338552537,False,1,fdr_not_passed,True,False
split_001,split_001_inner_001,alpha158_CNTP10,396.0,40.0,396.0,40.0,-0.018470506671395957,-0.08900714824932555,1.0,1.0,True,False,0.0638294289979683,False,-1,fdr_not_passed,True,False
