check_name,status,observed_value,required_value,severity,reason
accuracy_correction_status,pass,blocked_research_and_execution_accuracy,blocked_research_and_execution_accuracy,critical,Accuracy Correction V1 is active before any rematerialization.
selection_holdout_integrity_ready,pass,True,True,critical,The PR4.1 outer-test isolation evidence remains valid.
universe_lifecycle_v2_ready,pass,True,True,critical,Universe v2 intersects rolling membership with exact source lifecycle and resolves all 29 intervals and 329 illegal keys.
factor_dependency_inventory_ready,pass,True,True,critical,All 669 factors have fail-closed dependency classifications; unknown and every Alpha101 factor require recomputation audit.
matrix_v4_canary_ready,pass,True,True,critical,Five-source Top2000 PIT canary proved pure-factor common-key equivalence and mandatory Alpha101 recomputation with strict axis labels.
matrix_v4_lifecycle_clean,pass,True,True,critical,Matrix v4 materialized 30 partitions and 669 factors on 2587671 Universe v2 keys with clean complete lineage.
labels_v2_ready,pass,True,True,critical,Labels v2 uses exact canonical t+1/t+21 dates on 2587671 lifecycle-clean keys with no physical-row shift or price fill.
research_formula_accuracy_ready,pass,False,False,critical,Research formulas and lifecycle-clean materialization are not yet corrected.
execution_semantics_accuracy_ready,pass,False,False,critical,Execution field timing fees and valuation are not yet corrected.
model_research_ready,pass,False,False,critical,Research model inputs are not currently eligible.
authoritative_oos_execution_ready,pass,False,False,critical,Historical execution is non-authoritative.
core_model_ready,pass,False,False,critical,Core model entry must remain blocked.
pr5_model_training_ready,pass,False,False,critical,PR5A remains paused.
model_training_started,pass,False,False,critical,No model training has started.
model_entry_hard_stop_active,pass,True,True,critical,Repository policy must override historical ready artifacts.
current_allowlist_superseded,pass,True,True,critical,Current 48/46/54 allowlists are forbidden for model input.
current_weights_superseded,pass,True,True,critical,Current transparent weights are superseded.
current_scores_superseded,pass,True,True,critical,Current transparent scores are superseded.
historical_oos_non_authoritative,pass,True,True,critical,Current historical OOS execution and NAV are non-authoritative.
