factor,split_id,oos_degradation
alpha158_BETA30,split_001,-0.020632234537595898
alpha158_CNTD30,split_001,-0.020879610024411827
alpha158_CNTN30,split_001,-0.017142636944866618
alpha158_CNTP5,split_001,0.0009933936860468603
alpha158_CORD30,split_001,0.015894371119784492
alpha158_CORR30,split_001,-0.05481045670543827
alpha158_IMAX60,split_001,0.02258545203580737
alpha158_IMXD10,split_001,-0.042382328385324054
alpha158_KLOW2,split_001,-0.013042466281708624
alpha158_KSFT2,split_001,-0.0007701548176059399
alpha158_MA10,split_001,0.023634286898845863
alpha158_MAX20,split_001,0.060326241173521256
alpha158_MIN20,split_001,-0.04869965826767748
alpha158_OPEN0,split_001,0.02361363129035083
alpha158_QTLD30,split_001,-0.048880409486523585
alpha158_QTLU5,split_001,0.056013185628951204
alpha158_RANK60,split_001,0.061094605244724515
alpha158_ROC10,split_001,-0.02136611653602946
alpha158_RSQR10,split_001,-0.02541932133220043
alpha158_RSV20,split_001,-0.0032086924392146082
alpha158_STD30,split_001,-0.08641950874532076
alpha158_SUMD30,split_001,0.05912104174677672
alpha158_SUMN30,split_001,0.05912110117708934
alpha158_SUMP30,split_001,0.0591212195604667
alpha158_VMA30,split_001,0.054872049289324015
alpha158_VSTD30,split_001,0.03778176100601967
alpha158_VSUMD30,split_001,0.01179927081432202
alpha158_VSUMN30,split_001,0.011799360861502184
alpha158_VSUMP30,split_001,0.011799294709968024
alpha158_WVMA30,split_001,-0.005897132120617158
alpha360_CLOSE18,split_001,-0.029919905072084266
alpha360_CLOSE36,split_001,0.06721078063519327
alpha360_CLOSE54,split_001,0.09890320882399488
alpha360_HIGH18,split_001,-0.016059656211056914
alpha360_HIGH36,split_001,0.08110689355621745
alpha360_HIGH54,split_001,0.09583063536712999
alpha360_LOW18,split_001,-0.0449844031386358
alpha360_LOW36,split_001,0.061352073149956984
alpha360_LOW54,split_001,0.09988392061372214
alpha360_OPEN18,split_001,-0.033234828567366564
alpha360_OPEN36,split_001,0.0734355694788022
alpha360_OPEN54,split_001,0.0957633308963832
alpha360_VOLUME18,split_001,0.034804110925150816
alpha360_VOLUME36,split_001,-0.015071302872011472
alpha360_VOLUME54,split_001,-0.020822475646835502
alpha360_VWAP18,split_001,-0.02919589120275011
